Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Kakarot zkEVM,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
rotki,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
L2BEAT,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
eth.limo,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$20,000.00"
DAppNode,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$16,424.61"
EthStaker,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$16,267.55"
Protocol Guild,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$14,748.71"
ethers.js,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$11,281.04"
Lighthouse by Sigma Prime,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$9,817.46"
clr.fund,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$7,949.41"
NiceNode: Run a node — just press start,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,844.82","$6,583.56"
Otterscan,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,790.16","$6,403.81"
Ethereum on ARM,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,601.34","$5,054.91"
Ape Framework,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,579.48","$4,858.03"
wagmi,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,989.56"
Lodestar,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,980.00"
Rhino Review - Ethereum Staking Journal,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,477.64"
"Blockscout - Decentralized, Open-source Block Explorer Built for L1s, L2s and All Chains",GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$3,286.85"
Stereum - Ethereum Node Installer & Manager,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,735.40"
MetaGame,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,566.31"
Voltaire ERC-4337 Bundler,GG17 Beta Ethereum Infrastructure,Apr 2023,"24,357.86","$1,497.34"
Ephemery Testnet,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,807.30",$471.91
Ethereum Staking Guides by CoinCashew,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,607.55",$361.60
Dapplet,GG17 Beta Ethereum Infrastructure,Apr 2023,"23,164.32",$216.07
Prettier Solidity,GG17 Beta Ethereum Infrastructure,Apr 2023,"22,857.24",$28.24
