Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Wild Sherpas DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$604.36
ETHBarcelona,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$588.59
Somer Esat Ethereum Staking Guides (Ubuntu),GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$583.19
Women in Blockchain Farsi: Empowering and Educating the Farsi-Speaking Community,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$538.22
The Deep,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$536.36
CryptoFees.info & CryptoStats,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$506.70
ETHChile: An emerging and growing community,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$494.58
Mujeres en Crypto,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$491.72
Ethereum Colombia DAO,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$487.99
Chinwags: Focused Retreats for Web3 Builders,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$466.95
Pentacle,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$465.32
Impactopia,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$464.92
Web3ForGood,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$459.53
Impact Academy: making impact knowledge accessible,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$453.97
CriptoCuriosas,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$448.95
Built Different,GG17 Beta Web3 Community & Education,Apr 2023,"99,379.28",$446.94
Ethereum Costa Rica,GG17 Beta Web3 Community & Education,Apr 2023,"97,294.31",$435.86
KultureCity F THE NEVERS,GG17 Beta Web3 Community & Education,Apr 2023,"96,208.59",$420.51
SEED Latam,GG17 Beta Web3 Community & Education,Apr 2023,"94,410.32",$409.65
DHK dao,GG17 Beta Web3 Community & Education,Apr 2023,"94,410.32",$405.67
B<>rder/ess,GG17 Beta Web3 Community & Education,Apr 2023,"92,656.28",$390.55
Decentralizing Journalism to Restore Public Trust,GG17 Beta Web3 Community & Education,Apr 2023,"92,656.28",$378.06
Metapro Academy - Women Scholarship Program,GG17 Beta Web3 Community & Education,Apr 2023,"92,167.83",$371.35
DWeb Fellowship Fund,GG17 Beta Web3 Community & Education,Apr 2023,"90,435.15",$361.56
ETH Daily,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$350.55
Ethereum Dominicana,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$335.49
Wise Crowds Liberating Structures,GG17 Beta Web3 Community & Education,Apr 2023,"89,441.36",$313.41
40acres DAO,GG17 Beta Web3 Community & Education,Apr 2023,"85,313.14",$309.79
