Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
datalatte ☕️ ,GG17 Beta Web3 OSS,Apr 2023,"3,424.26",$164.64
Fusion – Open Source Web3 Icon Set,GG17 Beta Web3 OSS,Apr 2023,"3,244.13",$162.02
Decentrifi,GG17 Beta Web3 OSS,Apr 2023,"2,859.89",$160.60
Governator,GG17 Beta Web3 OSS,Apr 2023,"2,800.97",$143.63
Lume Web - Your Open & Private Internet,GG17 Beta Web3 OSS,Apr 2023,"2,796.37",$138.57
W3Space(previously W3.work),GG17 Beta Web3 OSS,Apr 2023,"2,619.19",$135.75
fatcat.money,GG17 Beta Web3 OSS,Apr 2023,"2,552.76",$134.26
ROBOTS.TXT,GG17 Beta Web3 OSS,Apr 2023,"2,508.66",$131.78
aikipay,GG17 Beta Web3 OSS,Apr 2023,"2,436.18",$123.82
signless,GG17 Beta Web3 OSS,Apr 2023,"2,217.50",$117.61
DeCartography,GG17 Beta Web3 OSS,Apr 2023,"2,148.79",$115.76
Kredeum NFTs Factory,GG17 Beta Web3 OSS,Apr 2023,"2,144.20",$104.14
Codingsh Open Source Developer,GG17 Beta Web3 OSS,Apr 2023,"2,069.04",$97.36
Backpack,GG17 Beta Web3 OSS,Apr 2023,"2,044.08",$95.11
1W3,GG17 Beta Web3 OSS,Apr 2023,"1,862.82",$89.54
0u0.ai,GG17 Beta Web3 OSS,Apr 2023,"1,535.52",$87.97
HonestWork,GG17 Beta Web3 OSS,Apr 2023,"1,465.75",$73.27
zenbit.eth,GG17 Beta Web3 OSS,Apr 2023,"1,103.26",$72.62
Pin Save: decentralized Pinterest,GG17 Beta Web3 OSS,Apr 2023,"1,101.52",$66.51
Changeth - private verifiable petitions,GG17 Beta Web3 OSS,Apr 2023,"1,079.78",$64.01
Pairwise: Tinder UX for web3 community signaling,GG17 Beta Web3 OSS,Apr 2023,"1,072.54",$52.75
Zuzalu Housing Tetris,GG17 Beta Web3 OSS,Apr 2023,"1,014.56",$48.92
Thunder Chat,GG17 Beta Web3 OSS,Apr 2023,$985.61,$41.28
Rubber Ducky,GG17 Beta Web3 OSS,Apr 2023,$927.59,$41.19
StatelessArt,GG17 Beta Web3 OSS,Apr 2023,$724.68,$40.53
The Slipstream,GG17 Beta Web3 OSS,Apr 2023,$594.26,$32.52
The Science Commons Initiative,GG17 Beta Web3 OSS,Apr 2023,$594.26,$30.19
Sovr,GG17 Beta Web3 OSS,Apr 2023,"663,853.62",$26.73
Spect,GG17 Beta Web3 OSS,Apr 2023,"496,896.42",$26.36
Sadaiv,GG17 Beta Web3 OSS,Apr 2023,"422,361.96",$24.16
crypto-jobs-crawler,GG17 Beta Web3 OSS,Apr 2023,"339,545.72",$22.91
Voting Contracts,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$18.94
Grant Review Dashboard,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$17.03
MEVBoostAA,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$11.96
Eppie: Web3 native email and identity manager,GG17 Beta Web3 OSS,Apr 2023,"280,249.58",$9.01
Smart Invoice,GG17 Beta Web3 OSS,Apr 2023,"273,293.03",$8.75
DecentrAgora,GG17 Beta Web3 OSS,Apr 2023,"253,848.98",$7.95
word block - Your reference notebook,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$6.23
Stackly,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$5.64
Project LION: Building Leo,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$4.73
HODL Totals,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$4.40
"Blockhead: account tracker, block explorer and data browser interface for crypto/DeFi/NFTs/web3",GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$3.33
Wireshape - Open Blockchain for Product Data,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$2.07
Shivarthu Democracy,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$1.17
