Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Treegens - The Most Transparent & Rewarding Tree Planting,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$32,640.53"
GainForest: A Planetary Computer for ReFi powered by DeSci and AI,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$25,661.44"
Atlantis,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$22,306.94"
$Earth - Solarpunk Dao,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$19,475.07"
Urbanika,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$18,246.00"
Web3beach,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,900.86"
Silvi,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,314.54"
GeoNFT & Fractionalizer,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$14,168.24"
Crowdmuse,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,596.91"
KOKO DAO saving forests in Colombia,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,531.92"
AgroforestDAO,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,361.65"
Shamba DMRV and Ecological Data Oracle.,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,304.78"
WarmOFF - CO₂ removal project,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$9,086.03"
Barichara Regeneration Fund – Prototyping a Bioregional Regenerative Economy,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$8,261.72"
Impact Verification Infrastructure Bundle,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$7,093.82"
Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets ,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$7,029.86"
BETTER,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,943.40"
The Impact App + Eco Labs,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,873.13"
Kokonut Network; Building an Eco-Friendly Perpetual Fund,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,441.87"
Simbiotica | The source for impact insights on-chain.,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$6,149.51"
The Solar Foundation,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$5,818.38"
dMeter,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,874.14"
The Ecological Benefits Framework,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,594.31"
"AYOWECCA UGANDA:       Training rural farmers & indigenous communities on regenerative agriculture and planting fruit trees in schools, health centers & churches",GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,419.35"
Solarpunk nomads: tracing nomadic routes with the first two public goods adventure vehicles,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,086.25"
Digital Gaia: A Science-Based Co-Pilot to Defeat Moloch and Regenerate the Planet,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$4,062.69"
WaterDAO,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,916.03"
de_plan ostrom,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,809.89"
Rebuilding Turkiye,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,374.42"
Treejer Protocol,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,336.87"
Climate & Nature Hyperstructure | .basin,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,252.84"
Bloom Network,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,218.11"
Kula कुल Regenerative Commons,GG17 Beta Climate Solution,Apr 2023,"49,689.64","$3,049.34"
R3WILD,GG17 Beta Climate Solution,Apr 2023,"49,197.71","$2,408.28"
Kawagumba village: a Kenyan community farm project ,GG17 Beta Climate Solution,Apr 2023,"47,956.47","$2,208.46"
Ekonavi,GG17 Beta Climate Solution,Apr 2023,"47,956.47","$1,824.02"
Younergy Crypto,GG17 Beta Climate Solution,Apr 2023,"47,702.06","$1,612.38"
TaterDAO,GG17 Beta Climate Solution,Apr 2023,"47,702.06","$1,568.08"
Non-Fungible Plants,GG17 Beta Climate Solution,Apr 2023,"46,328.63","$1,484.48"
Oceans DAO ,GG17 Beta Climate Solution,Apr 2023,"46,223.29","$1,461.96"
Watercycle,GG17 Beta Climate Solution,Apr 2023,"46,083.66","$1,456.06"
Climate Attestation Protocol,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,362.40"
Healing Coral,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,216.57"
Fightersgang,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,151.55"
Myseelia 🍄,GG17 Beta Climate Solution,Apr 2023,"44,720.68","$1,121.98"
Sympoiesis,GG17 Beta Climate Solution,Apr 2023,"42,987.50","$1,104.30"
Astral Protocol,GG17 Beta Climate Solution,Apr 2023,"42,236.20","$1,087.14"
Cosmos for Humanity | C4H,GG17 Beta Climate Solution,Apr 2023,"40,084.63","$1,080.16"
Coffee Impact Collective,GG17 Beta Climate Solution,Apr 2023,"39,751.71","$1,037.68"
KNS Domains,GG17 Beta Climate Solution,Apr 2023,"39,751.71","$1,004.03"
The Wildlife Movement Institute: An Open-Source Tracking Community,GG17 Beta Climate Solution,Apr 2023,"39,751.71",$897.47
Rebioca,GG17 Beta Climate Solution,Apr 2023,"39,670.22",$894.68
regrò ,GG17 Beta Climate Solution,Apr 2023,"39,670.22",$841.55
Carbon Anti-Theft,GG17 Beta Climate Solution,Apr 2023,"38,548.73",$741.57
Litter Token,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$721.43
Green Digital Guardians,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$718.50
Cambiatus,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$687.96
oxygenchain,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$687.43
Sungura Mjanja Refi,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$557.45
ECORISE,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$480.87
Mini Meadows,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$411.23
Ranna: Filmmakers for Climate,GG17 Beta Climate Solution,Apr 2023,"38,223.26",$409.80
