Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Avantis,RetroPGF4,May 2024,37664.1,"$92,465"
Phi,RetroPGF4,May 2024,36884.7,"$90,552"
Gitcoin,RetroPGF4,May 2024,36226.8,"$88,937"
Overnight Finance,RetroPGF4,May 2024,36109.5,"$88,649"
Alien Base,RetroPGF4,May 2024,32893,"$80,752"
Ironclad Finance,RetroPGF4,May 2024,32877.4,"$80,714"
Builder Protocol,RetroPGF4,May 2024,31748.6,"$77,943"
Reserve Protocol,RetroPGF4,May 2024,30868.8,"$75,783"
Beefy,RetroPGF4,May 2024,29956.7,"$73,544"
Gloom,RetroPGF4,May 2024,29452.8,"$72,307"
Ham,RetroPGF4,May 2024,28272.3,"$69,408"
Bored Town,RetroPGF4,May 2024,28157.4,"$69,126"
Wormhole Foundation,RetroPGF4,May 2024,28129.7,"$69,058"
L2Pass,RetroPGF4,May 2024,27255.3,"$66,912"
NFT HOOK,RetroPGF4,May 2024,27168,"$66,697"
Gamma,RetroPGF4,May 2024,27117.9,"$66,574"
SwapBased,RetroPGF4,May 2024,26670.6,"$65,476"
Catalog Radio,RetroPGF4,May 2024,26499.4,"$65,056"
Hedgey,RetroPGF4,May 2024,26414.3,"$64,847"
Sturdy,RetroPGF4,May 2024,24878.9,"$61,078"
Guild.xyz,RetroPGF4,May 2024,24870.6,"$61,057"
Router Protocol,RetroPGF4,May 2024,23502.2,"$57,698"
MiniBridge,RetroPGF4,May 2024,23354.9,"$57,336"
Splits,RetroPGF4,May 2024,23349.7,"$57,324"
Hypersub,RetroPGF4,May 2024,22893.1,"$56,203"
Speedtracer,RetroPGF4,May 2024,20724.5,"$50,879"
Omni X,RetroPGF4,May 2024,20579.8,"$50,523"
BMX by Morphex,RetroPGF4,May 2024,19870.8,"$48,783"
床 BuidlGuidl,RetroPGF4,May 2024,18631.5,"$45,740"
sudoswap,RetroPGF4,May 2024,18408.5,"$45,193"
DackieSwap,RetroPGF4,May 2024,18251,"$44,806"
Loot2,RetroPGF4,May 2024,18164.3,"$44,593"
Guac (Farcaster),RetroPGF4,May 2024,18101.7,"$44,440"
Slice,RetroPGF4,May 2024,17877.5,"$43,889"
Let's Get HAI,RetroPGF4,May 2024,17550.6,"$43,087"
PoolTogether,RetroPGF4,May 2024,17490.5,"$42,939"
Lido Finance,RetroPGF4,May 2024,16873.7,"$41,425"
Equalizer,RetroPGF4,May 2024,15736.6,"$38,633"
EthXY,RetroPGF4,May 2024,15224.3,"$37,376"
Omnisea,RetroPGF4,May 2024,14418.9,"$35,398"
Coordinape,RetroPGF4,May 2024,14254.2,"$34,994"
Polynomial Trade,RetroPGF4,May 2024,"13,996.50","$34,361"
TITLES,RetroPGF4,May 2024,13867.8,"$34,045"
Pika Protocol,RetroPGF4,May 2024,13662.7,"$33,542"
BSX,RetroPGF4,May 2024,13521.8,"$33,196"
Linkdrop,RetroPGF4,May 2024,12889.8,"$31,644"
ModeChat.xyz | Onchain Social on Mode,RetroPGF4,May 2024,12790.3,"$31,400"
doginme memecoin,RetroPGF4,May 2024,12759.2,"$31,324"
Keng Lernitas,RetroPGF4,May 2024,11791.6,"$28,948"
Biconomy,RetroPGF4,May 2024,11193.5,"$27,480"
tanX - The World's Leading Institutional DEX,RetroPGF4,May 2024,11014.4,"$27,040"
NiftyKit,RetroPGF4,May 2024,10976.9,"$26,948"
Zerius,RetroPGF4,May 2024,10797.8,"$26,509"
dHEDGE,RetroPGF4,May 2024,10456.2,"$25,670"
Get Mint,RetroPGF4,May 2024,"10,216.70","$25,082"
Morkie,RetroPGF4,May 2024,9635.4,"$23,655"
Metronome,RetroPGF4,May 2024,9590.2,"$23,544"
DefiLlama,RetroPGF4,May 2024,9256,"$22,723"
Opti.Domains,RetroPGF4,May 2024,9070.1,"$22,267"
Exactly Protocol,RetroPGF4,May 2024,8700.7,"$21,360"
Virtuals Protocol,RetroPGF4,May 2024,8506.5,"$20,883"
Revert,RetroPGF4,May 2024,8448.2,"$20,740"
Aura Finance,RetroPGF4,May 2024,8408.6,"$20,643"
TLX,RetroPGF4,May 2024,8250.3,"$20,254"
PRINT3R,RetroPGF4,May 2024,8219.3,"$20,178"
Circle.tech,RetroPGF4,May 2024,7983.3,"$19,599"
Pheasant Network,RetroPGF4,May 2024,7486.3,"$18,379"
Noggles ($NOGS),RetroPGF4,May 2024,7402.5,"$18,173"
Blob Farm,RetroPGF4,May 2024,7234.8,"$17,761"
荘 King of the Degens 自 - Farcaster Frame Game,RetroPGF4,May 2024,7058.2,"$17,328"
Velocimeter/Graphene,RetroPGF4,May 2024,6932.1,"$17,018"
Streameth,RetroPGF4,May 2024,6742.8,"$16,554"
Nogem,RetroPGF4,May 2024,6739.6,"$16,546"
Harvest Finance,RetroPGF4,May 2024,6684.7,"$16,411"
Onchain Blobs - Randomly generated onchain blobs minted via a Farcaster frame,RetroPGF4,May 2024,6614.5,"$16,239"
3DNS,RetroPGF4,May 2024,6338.5,"$15,561"
MYSTCL ($MYST),RetroPGF4,May 2024,6301,"$15,469"
Slugs,RetroPGF4,May 2024,6245.6,"$15,333"
DackieNFT,RetroPGF4,May 2024,6208.4,"$15,242"
OmniHub,RetroPGF4,May 2024,6093,"$14,958"
Unlonely,RetroPGF4,May 2024,5914.6,"$14,520"
Arcadia Finance,RetroPGF4,May 2024,5743.8,"$14,101"
Vesper Finance,RetroPGF4,May 2024,5121.4,"$12,573"
OptiChads NFT Community,RetroPGF4,May 2024,5080.7,"$12,473"
Whale,RetroPGF4,May 2024,5010,"$12,300"
QiDao - Mai.Finance,RetroPGF4,May 2024,4952.3,"$12,158"
Copin.io,RetroPGF4,May 2024,4940.5,"$12,129"
Pixotchi,RetroPGF4,May 2024,4861.2,"$11,934"
Infusion,RetroPGF4,May 2024,4834.9,"$11,870"
Kiwi News,RetroPGF4,May 2024,4805.2,"$11,797"
Clipper DEX,RetroPGF4,May 2024,4673.8,"$11,474"
The Open X Project,RetroPGF4,May 2024,4530.9,"$11,123"
Crowdmuse,RetroPGF4,May 2024,4416.9,"$10,843"
Receipts,RetroPGF4,May 2024,4416.6,"$10,843"
Whimsical Euphoria: A White Inflatable Sheep,RetroPGF4,May 2024,4307.9,"$10,576"
Giveth,RetroPGF4,May 2024,4295.4,"$10,545"
RMRK,RetroPGF4,May 2024,4112.1,"$10,095"
Hats Protocol,RetroPGF4,May 2024,4090.2,"$10,041"
Portals,RetroPGF4,May 2024,3860.8,"$9,478"
Umbra,RetroPGF4,May 2024,3850.8,"$9,454"
Basic Dog Meme,RetroPGF4,May 2024,3672.4,"$9,016"
Idle,RetroPGF4,May 2024,3559.5,"$8,739"
Your Brians,RetroPGF4,May 2024,3521,"$8,644"
Scry Protocol,RetroPGF4,May 2024,3493.8,"$8,577"
PAWS Wildlife Room Onchain Vote in a Frame,RetroPGF4,May 2024,3403.8,"$8,356"
Bodhi,RetroPGF4,May 2024,3399.6,"$8,346"
HOMES,RetroPGF4,May 2024,3334.9,"$8,187"
zkBob smart contract privacy wallet,RetroPGF4,May 2024,3206.5,"$7,872"
Union,RetroPGF4,May 2024,3183.5,"$7,815"
Gangster Arena,RetroPGF4,May 2024,3153.5,"$7,742"
Wombat Exchange,RetroPGF4,May 2024,3073.4,"$7,545"
Base on Rarible,RetroPGF4,May 2024,3021.2,"$7,417"
Drakula.app,RetroPGF4,May 2024,2982.6,"$7,322"
Daimo,RetroPGF4,May 2024,2808,"$6,894"
Ethos Reserve,RetroPGF4,May 2024,2805.3,"$6,887"
Mintify,RetroPGF4,May 2024,2683.3,"$6,588"
UNCX Network,RetroPGF4,May 2024,2416.5,"$5,933"
Mochimons,RetroPGF4,May 2024,2407.9,"$5,911"
Liquidify,RetroPGF4,May 2024,2337.8,"$5,739"
Alchemix,RetroPGF4,May 2024,2337.2,"$5,738"
ORA Onchain AI Oracle on Optimism,RetroPGF4,May 2024,2297.9,"$5,641"
Summer.fi,RetroPGF4,May 2024,2239.2,"$5,497"
Astaria,RetroPGF4,May 2024,2238.8,"$5,496"
Based Onchain Dinos,RetroPGF4,May 2024,2178.4,"$5,348"
Trash NFTs,RetroPGF4,May 2024,2010.6,"$4,936"
Crypto Composite,RetroPGF4,May 2024,1826.8,"$4,485"
builder.fi,RetroPGF4,May 2024,1776.9,"$4,362"
Tokepad,RetroPGF4,May 2024,1700.7,"$4,175"
ZKP2P,RetroPGF4,May 2024,1619.8,"$3,977"
Aragon,RetroPGF4,May 2024,1560.7,"$3,832"
Unitap,RetroPGF4,May 2024,1540.7,"$3,782"
/send,RetroPGF4,May 2024,1392.8,"$3,419"
PiraNFT,RetroPGF4,May 2024,1386.9,"$3,405"
IntentX,RetroPGF4,May 2024,1262,"$3,098"
Egg Wars: A Game on Base,RetroPGF4,May 2024,1245.5,"$3,058"
BaseDoge,RetroPGF4,May 2024,1165.7,"$2,862"
Cygnus Finance,RetroPGF4,May 2024,1145,"$2,811"
Pyth Network,RetroPGF4,May 2024,1095.8,"$2,690"
