Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Protocol Guild,RetroPGF2,Mar 2023,"557,301.00","$1,275,104.69"
L2BEAT,RetroPGF2,Mar 2023,"256,294.36","$586,401.50"
geth,RetroPGF2,Mar 2023,"230,590.08","$527,590.10"
ETHGlobal,RetroPGF2,Mar 2023,"230,005.52","$526,252.63"
BuidlGuidl,RetroPGF2,Mar 2023,"224,174.11","$512,910.36"
Solidity,RetroPGF2,Mar 2023,"217,383.16","$497,372.67"
Ethers,RetroPGF2,Mar 2023,"209,140.64","$478,513.78"
0xPARC,RetroPGF2,Mar 2023,"206,053.62","$471,450.68"
EIP4844 collection,RetroPGF2,Mar 2023,"195,674.82","$447,703.99"
Monorepo dependencies collection,RetroPGF2,Mar 2023,"188,999.93","$432,431.84"
ZachXBT,RetroPGF2,Mar 2023,"188,573.93","$431,457.15"
OPCraft & MUD (Lattice),RetroPGF2,Mar 2023,"183,348.21","$419,500.70"
OpenZeppelin,RetroPGF2,Mar 2023,"181,764.94","$415,878.18"
DefiLlama,RetroPGF2,Mar 2023,"171,292.71","$391,917.72"
Lighthouse,RetroPGF2,Mar 2023,"165,460.21","$378,572.96"
wagmi,RetroPGF2,Mar 2023,"156,463.05","$357,987.46"
Remix Project,RetroPGF2,Mar 2023,"151,676.14","$347,035.01"
Gitcoin,RetroPGF2,Mar 2023,"151,494.17","$346,618.66"
Foundry,RetroPGF2,Mar 2023,"148,672.83","$340,163.44"
Snapshot,RetroPGF2,Mar 2023,"145,698.50","$333,358.17"
rotki,RetroPGF2,Mar 2023,"145,272.64","$332,383.80"
Goerli,RetroPGF2,Mar 2023,"143,507.74","$328,345.71"
Erigon,RetroPGF2,Mar 2023,"141,650.27","$324,095.82"
Nethermind,RetroPGF2,Mar 2023,"135,623.67","$310,306.96"
Vyper,RetroPGF2,Mar 2023,"135,226.30","$309,397.77"
Kernel,RetroPGF2,Mar 2023,"132,035.12","$302,096.35"
CryptoZombies,RetroPGF2,Mar 2023,"130,577.81","$298,762.03"
Giveth,RetroPGF2,Mar 2023,"129,814.43","$297,015.42"
Week in Ethereum News,RetroPGF2,Mar 2023,"121,700.47","$278,450.68"
Safe (previously Gnosis Safe),RetroPGF2,Mar 2023,"119,584.01","$273,608.21"
beaconcha.in,RetroPGF2,Mar 2023,"105,836.75","$242,154.48"
Agora,RetroPGF2,Mar 2023,"101,992.05","$233,357.81"
Polynya,RetroPGF2,Mar 2023,"98,824.31","$226,110.02"
Support NERDs collection,RetroPGF2,Mar 2023,"93,683.95","$214,348.88"
eth.limo,RetroPGF2,Mar 2023,"92,270.33","$211,114.52"
Synpress,RetroPGF2,Mar 2023,"91,886.73","$210,236.84"
Cannon,RetroPGF2,Mar 2023,"90,241.42","$206,472.37"
Translators collection,RetroPGF2,Mar 2023,"85,657.06","$195,983.35"
Nimbus,RetroPGF2,Mar 2023,"84,018.23","$192,233.71"
Lodestar,RetroPGF2,Mar 2023,"79,662.51","$182,267.82"
Teku,RetroPGF2,Mar 2023,"78,199.65","$178,920.80"
Revoke.cash,RetroPGF2,Mar 2023,"73,489.50","$168,143.98"
TrueBlocks,RetroPGF2,Mar 2023,"71,866.56","$164,430.69"
RadicalXChange,RetroPGF2,Mar 2023,"70,988.29","$162,421.21"
Otterscan,RetroPGF2,Mar 2023,"68,834.84","$157,494.11"
Blockscout,RetroPGF2,Mar 2023,"65,259.35","$149,313.39"
Where has the OP Gone?,RetroPGF2,Mar 2023,"65,055.77","$148,847.60"
Cryptocurrency and Friends,RetroPGF2,Mar 2023,"63,907.22","$146,219.72"
EthernautDAO,RetroPGF2,Mar 2023,"63,437.90","$145,145.92"
Keccak hashing,RetroPGF2,Mar 2023,"62,838.16","$143,773.71"
hardhat-deploy,RetroPGF2,Mar 2023,"62,648.76","$143,340.36"
Infinitism (ERC-4337) - Account Abstraction,RetroPGF2,Mar 2023,"61,332.92","$140,329.72"
Commons Stack,RetroPGF2,Mar 2023,"60,038.39","$137,367.84"
MerkleTreeJS,RetroPGF2,Mar 2023,"58,260.33","$133,299.64"
Pocket Network,RetroPGF2,Mar 2023,"58,180.59","$133,117.19"
Bankless Academy,RetroPGF2,Mar 2023,"58,066.79","$132,856.82"
TE Academy,RetroPGF2,Mar 2023,"57,564.71","$131,708.06"
Michael Vander Meiden,RetroPGF2,Mar 2023,"56,339.40","$128,904.55"
SEED LATAM (formerly DeFi LATAM),RetroPGF2,Mar 2023,"55,061.82","$125,981.44"
EIP-5164 / PoolTogether Inc,RetroPGF2,Mar 2023,"54,551.25","$124,813.26"
Optimism Ambassador collection,RetroPGF2,Mar 2023,"52,240.79","$119,526.93"
0xSplits,RetroPGF2,Mar 2023,"52,154.24","$119,328.90"
Guild,RetroPGF2,Mar 2023,"51,001.26","$116,690.88"
Chainlist,RetroPGF2,Mar 2023,"49,979.68","$114,353.51"
Hyperledger Besu,RetroPGF2,Mar 2023,"48,486.28","$110,936.61"
🐍 snekmate,RetroPGF2,Mar 2023,"48,081.33","$110,010.08"
Frame,RetroPGF2,Mar 2023,"47,826.28","$109,426.53"
Optimism en Español,RetroPGF2,Mar 2023,"45,993.28","$105,232.62"
IC3,RetroPGF2,Mar 2023,"45,349.22","$103,759.02"
Solady,RetroPGF2,Mar 2023,"45,018.75","$103,002.90"
TypeChain,RetroPGF2,Mar 2023,"44,938.67","$102,819.68"
Attestation Station Interface,RetroPGF2,Mar 2023,"44,342.30","$101,455.18"
Prettier Solidity,RetroPGF2,Mar 2023,"43,833.72","$100,291.55"
blst by Supranational,RetroPGF2,Mar 2023,"40,614.00","$92,924.83"
Flipside Crypto,RetroPGF2,Mar 2023,"40,079.68","$91,702.31"
Blobscan,RetroPGF2,Mar 2023,"40,012.19","$91,547.89"
Akula,RetroPGF2,Mar 2023,"39,663.82","$90,750.82"
