Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Protocol Guild,RetroPGF3,Dec 2023,"663,853.62","$2,458,250"
go-ethereum,RetroPGF3,Dec 2023,"496,896.42","$1,840,007"
Solidity,RetroPGF3,Dec 2023,"422,361.96","$1,564,006"
Erigon,RetroPGF3,Dec 2023,"339,545.72","$1,257,338"
Lighthouse,RetroPGF3,Dec 2023,"298,137.85","$1,104,004"
libp2p,RetroPGF3,Dec 2023,"298,137.85","$1,104,004"
ethers.js,RetroPGF3,Dec 2023,"298,137.85","$1,104,004"
Hardhat,RetroPGF3,Dec 2023,"280,249.58","$1,037,764"
Test in Prod,RetroPGF3,Dec 2023,"273,293.03","$1,012,004"
ETHGlobal,RetroPGF3,Dec 2023,"253,848.98","$940,003"
Remix Project,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Lodestar,RetroPGF3,Dec 2023,"248,448.21","$920,004"
DefiLlama,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Account Abstraction - ERC-4337,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Web3js,RetroPGF3,Dec 2023,"248,448.21","$920,004"
OpenZeppelin Contracts,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Nethermind,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Dappnode,RetroPGF3,Dec 2023,"248,448.21","$920,004"
Vyper,RetroPGF3,Dec 2023,"248,448.21","$920,004"
🏰 BuidlGuidl,RetroPGF3,Dec 2023,"227,602.91","$842,814"
IPFS,RetroPGF3,Dec 2023,"225,861.29","$836,364"
beaconcha.in,RetroPGF3,Dec 2023,"223,603.39","$828,003"
Ethereum Attestation Service,RetroPGF3,Dec 2023,"219,757.63","$813,763"
Agora,RetroPGF3,Dec 2023,"212,309.93","$786,184"
Snapshot,RetroPGF3,Dec 2023,"198,758.57","$736,003"
L2BEAT 💗,RetroPGF3,Dec 2023,"198,758.57","$736,003"
Wagmi / Viem,RetroPGF3,Dec 2023,"198,758.57","$736,003"
Blockscout Block Explorer,RetroPGF3,Dec 2023,"198,758.57","$736,003"
foundry,RetroPGF3,Dec 2023,"198,758.57","$736,003"
Sourcify,RetroPGF3,Dec 2023,"198,758.57","$736,003"
Nimbus,RetroPGF3,Dec 2023,"198,758.57","$736,003"
revm,RetroPGF3,Dec 2023,"198,758.57","$736,003"
Lattice (OPCraft & MUD),RetroPGF3,Dec 2023,"195,280.29","$723,123"
Gitcoin,RetroPGF3,Dec 2023,"176,398.23","$653,203"
Otterscan,RetroPGF3,Dec 2023,"170,364.91","$630,861"
ZachXBT,RetroPGF3,Dec 2023,"149,455.01","$553,432"
rotki,RetroPGF3,Dec 2023,"149,068.93","$552,002"
Revoke.cash,RetroPGF3,Dec 2023,"149,068.93","$552,002"
OP Reth,RetroPGF3,Dec 2023,"149,068.93","$552,002"
Giveth,RetroPGF3,Dec 2023,"149,068.93","$552,002"
Mirror,RetroPGF3,Dec 2023,"138,983.92","$514,657"
TrueBlocks / Unchained Index,RetroPGF3,Dec 2023,"136,646.52","$506,002"
Ethereum on ARM,RetroPGF3,Dec 2023,"133,449.98","$494,165"
Immunefi,RetroPGF3,Dec 2023,"129,193.07","$478,402"
Open Source Observer,RetroPGF3,Dec 2023,"127,914.06","$473,666"
Ethereum Cat Herders,RetroPGF3,Dec 2023,"124,224.11","$460,002"
Department of Decentralization,RetroPGF3,Dec 2023,"124,224.11","$460,002"
TypeChain / DethCode,RetroPGF3,Dec 2023,"124,224.11","$460,002"
Frame,RetroPGF3,Dec 2023,"123,541.37","$457,474"
Slither,RetroPGF3,Dec 2023,"121,739.62","$450,802"
BasePaint,RetroPGF3,Dec 2023,"115,058.35","$426,061"
Small Brain Games,RetroPGF3,Dec 2023,"114,285.18","$423,198"
CharmVerse,RetroPGF3,Dec 2023,"109,317.21","$404,802"
Aerodrome Finance,RetroPGF3,Dec 2023,"104,348.25","$386,402"
Kwenta,RetroPGF3,Dec 2023,"99,876.18","$369,841"
Ultra Sound Relay,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Secureum,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Candide,RetroPGF3,Dec 2023,"99,379.28","$368,001"
CryptoZombies,RetroPGF3,Dec 2023,"99,379.28","$368,001"
RainbowKit,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Metagov,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Cannon,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Coordinape,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Wallet Abstraction,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Velodrome,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Blobscan,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Support NERDs,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Fe,RetroPGF3,Dec 2023,"99,379.28","$368,001"
StreamETH,RetroPGF3,Dec 2023,"99,379.28","$368,001"
EthernautDAO,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Ipsilon,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Lyra Finance,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Waffle,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Guild.xyz,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Synpress,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Optimistic Indexer,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Vectorized,RetroPGF3,Dec 2023,"99,379.28","$368,001"
UseDApp,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Synthetix,RetroPGF3,Dec 2023,"99,379.28","$368,001"
eth.limo,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Optimism Translators,RetroPGF3,Dec 2023,"99,379.28","$368,001"
ApeWorX LTD,RetroPGF3,Dec 2023,"99,379.28","$368,001"
Soul Wallet,RetroPGF3,Dec 2023,"99,379.28","$368,001"
