Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Uniswap Diamond: Open Source API & SDK,Wave 1,,,"$330,000.00"
Uniswap Diamond: Pro Interface,Wave 1,,,"$300,000.00"
Decentralized Volatility Oracle,Wave 1,,,"$50,000.00"
Uniswap.fish (previously Uniswap Calculator),Wave 1,,,"$60,000.00"
Uniswap data extraction tool,Wave 1,,,"$1,200.00"
Numoen,Wave 1,,,"$50,000.00"
Uniswap v3 Development Course,Wave 1,,,"$82,000.00"
DeFi LATAM,Wave 1,,,"$35,000.00"
DeFi Africa,Wave 1,,,"$120,000.00"
Phi,Wave 1,,,"$2,000.00"
Ignition Hacks 2022,Wave 1,,,"$250,000.00"
Holdim,Wave 1,,,"$4,800.00"
Governance Decentralization Benchmarks and Tracker,Wave 1,,,"$20,000"
Recognized Delegation Program Research and Development,Wave 1,,,"$84,000"
