Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
EthStaker,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"204,725.25","$20,000.00"
INTMAX,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"173,764.96","$20,000.00"
Iron Wallet,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"163,047.79","$20,000.00"
L2BEAT,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"160,975.55","$20,000.00"
Protocol Guild,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"155,951.75","$20,000.00"
eth.limo,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"155,898.10","$14,408.60"
Lighthouse by Sigma Prime,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"144,461.28","$13,273.82"
"Blockscout - Decentralized, Open-source Block Explorer Built for L1s, L2s and All Chains",GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"141,374.50","$9,341.30"
Ethscriptions,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"140,781.79","$8,499.52"
wagmi,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"139,506.13","$8,312.14"
Ethereum Attestation Service,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"139,506.13","$8,164.68"
ethers.js,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"132,268.50","$6,858.44"
beaconcha.in,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"132,114.17","$4,546.78"
NiceNode: Run a node — just press start,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"131,833.29","$4,074.40"
Baseline Protocol,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"130,725.11","$3,999.75"
Candide Labs,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"129,644.74","$3,330.61"
TrueBlocks and the Unchained Index,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"124,577.52","$2,705.37"
eth-wizard: An Ethereum validator installation wizard,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"124,160.46","$2,339.24"
Ethereum on ARM,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"123,471.18","$2,242.75"
The Forus,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"121,704.42","$1,353.58"
Topia Shared DA,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"121,021.57","$1,230.56"
Ethereum Staking Guides by CoinCashew,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"121,021.57","$1,219.13"
Stereum - Ethereum Node Installer & Manager,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"119,750.72","$1,177.08"
Armiarma v2,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"114,923.91","$1,088.51"
Somer Esat Ethereum Staking Guides (Ubuntu),GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"111,246.35",$871.51
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"107,882.95",$458.38
Parallelized Monte Carlo methods for algorithmic mechanism design,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"106,024.66",$279.45
EIP Fun,GG18 Cluster QF Ethereum Infrastructure,Aug 2023,"103,201.67",$224.38
