Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Atlantis: Home to Changemakers,GG18 Cluster QF Climate,Aug 2023,"102,362.62","$23,876.84"
$Earth - Solarpunk Dao,GG18 Cluster QF Climate,Aug 2023,"100,320.34","$19,117.28"
The Solar Foundation ☀️ Decentralized clean energy is a public good,GG18 Cluster QF Climate,Aug 2023,"97,542.23","$18,915.27"
Silvi,GG18 Cluster QF Climate,Aug 2023,"96,461.86","$13,367.42"
TREEGENS - The Most Transparent & Rewarding Tree Planting,GG18 Cluster QF Climate,Aug 2023,"95,616.70","$11,596.83"
Web3beach,GG18 Cluster QF Climate,Aug 2023,"95,072.81","$9,710.78"
GoodDollar,GG18 Cluster QF Climate,Aug 2023,"94,609.79","$7,293.87"
KOKO DAO saving forests in Colombia,GG18 Cluster QF Climate,Aug 2023,"94,146.78","$6,752.77"
🌻 Sunflower EcoTech 🌻 (fka Eco Labs),GG18 Cluster QF Climate,Aug 2023,"93,469.11","$6,557.60"
"Solarpunk nomads: eco vehicles, routes and Solarpunk World Building",GG18 Cluster QF Climate,Aug 2023,"92,603.39","$6,504.00"
Earthist - Decentralize the Seeds,GG18 Cluster QF Climate,Aug 2023,"91,939.13","$6,415.03"
WaterDAO,GG18 Cluster QF Climate,Aug 2023,"89,825.29","$5,743.51"
Kokonut Network; Building an Eco-Friendly Perpetual Asset,GG18 Cluster QF Climate,Aug 2023,"89,180.96","$5,685.84"
Endangered Tokens DAO: Endangered Trees as ReFi Biodiversity Assets & Public Registry,GG18 Cluster QF Climate,Aug 2023,"89,053.59","$5,494.27"
"AYOWECCA UGANDA:      Training rural farmers & indigenous communities on regenerative agriculture and planting fruit trees in schools, health centers & churches",GG18 Cluster QF Climate,Aug 2023,"88,436.23","$5,066.99"
AgroforestDAO,GG18 Cluster QF Climate,Aug 2023,"87,191.33","$4,086.04"
GainForest: A global conservation basic income enabled by AI and web3,GG18 Cluster QF Climate,Aug 2023,"86,652.63","$3,944.36"
Oxygenchain,GG18 Cluster QF Climate,Aug 2023,"86,307.86","$3,550.74"
ReCommon,GG18 Cluster QF Climate,Aug 2023,"83,434.76","$3,320.97"
Helios - High Impact Solar in Emerging Markets,GG18 Cluster QF Climate,Aug 2023,"83,354.91","$3,302.61"
Litter Token,GG18 Cluster QF Climate,Aug 2023,"81,027.96","$3,277.32"
River Cleanup,GG18 Cluster QF Climate,Aug 2023,"80,446.74","$3,242.76"
Kula (कुल) Regenerative Commons,GG18 Cluster QF Climate,Aug 2023,"77,941.18","$3,222.21"
Impact Verification Infrastructure Bundle,GG18 Cluster QF Climate,Aug 2023,"77,169.49","$3,057.19"
Cosmos for Humanity | C4H,GG18 Cluster QF Climate,Aug 2023,"76,379.61","$3,004.71"
Shamba Network dMRV,GG18 Cluster QF Climate,Aug 2023,"76,089.12","$2,570.50"
Barichara Regeneration Fund – Prototyping a Bioregional Regenerative Economy,GG18 Cluster QF Climate,Aug 2023,"74,240.85","$2,543.09"
The Kawagumba village community farm project,GG18 Cluster QF Climate,Aug 2023,"71,137.90","$2,472.84"
Ocean Sole,GG18 Cluster QF Climate,Aug 2023,"70,995.93","$2,393.39"
Ekonavi,GG18 Cluster QF Climate,Aug 2023,"70,101.83","$2,390.49"
dMeter,GG18 Cluster QF Climate,Aug 2023,"70,069.90","$2,145.69"
