Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
EtherScore,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
KudasaiJP,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
ZachXBT,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$15,000.00"
BanklessDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$9,879.70"
GreenPill Network,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$8,677.02"
Urbanika & the Climate Positive Traveling School,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$7,260.78"
Blocktrend（區塊勢）,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$5,733.98"
JobStash,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,841.54"
Token Engineering Commons,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,645.48"
Bankless Academy,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,325.75"
yAcademy Auditing Fellowships,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,177.69"
LexDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$4,092.30"
The Noun Square,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,865.16"
Bankless Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,797.98"
Unitap,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,685.16"
OpenUX: Open Source Web3 UX-Insights,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,511.55"
ReFi DAO — Unlocking a Global Regen CoordiNATION,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,478.00"
Rocket Fuel,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,280.30"
Gitcoin China Ecosystem Development,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$3,231.45"
Ethereum Colombia DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,984.92"
Biteye,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,840.03"
Defy Foundation,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,652.88"
Upgrading Ethereum Book,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,968.96","$2,388.44"
The Tapestry,GG18 Cluster QF Web3 Community & Education,Aug 2023,"4,223.62","$2,306.74"
0xBlob,GG18 Cluster QF Web3 Community & Education,Aug 2023,"2,732.93","$2,229.21"
Regens Unite: bridging the gap between web3 and local regens,GG18 Cluster QF Web3 Community & Education,Aug 2023,"2,732.93","$2,138.82"
MetaFest,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$2,132.69"
Proof of Integrity,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$1,825.75"
Kairos Research,GG18 Cluster QF Web3 Community & Education,Aug 2023,"1,987.59","$1,807.88"
ETHAccra,GG18 Cluster QF Web3 Community & Education,Aug 2023,500000,"$1,766.94"
"Nurstar's Educational Formats (Stark Cafe, Starknet Daily Recap, Hablando de Starknet ",GG18 Cluster QF Web3 Community & Education,Aug 2023,500000,"$1,741.35"
Psychedelic Puppet Show,GG18 Cluster QF Web3 Community & Education,Aug 2023,481556.2,"$1,686.01"
Mycelia : Bridging Web3 to Indigenous Public Goods,GG18 Cluster QF Web3 Community & Education,Aug 2023,426708.1,"$1,626.78"
Ethereum Lima,GG18 Cluster QF Web3 Community & Education,Aug 2023,359091.2,"$1,615.07"
Bankless Publishing,GG18 Cluster QF Web3 Community & Education,Aug 2023,349239.5,"$1,562.19"
Week in Ethereum News,GG18 Cluster QF Web3 Community & Education,Aug 2023,276764.7,"$1,540.60"
Send vulnerable children to school,GG18 Cluster QF Web3 Community & Education,Aug 2023,256650.1,"$1,517.22"
ENS DAO Newsletter:  Providing news and core ENS development to the global Ethereum community.,GG18 Cluster QF Web3 Community & Education,Aug 2023,227800.2,"$1,494.55"
Follow The Black Hare,GG18 Cluster QF Web3 Community & Education,Aug 2023,219455.8,"$1,442.46"
MetricsDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,175529.8,"$1,436.14"
Fractal Visions,GG18 Cluster QF Web3 Community & Education,Aug 2023,167055.3,"$1,424.67"
DeFi Africa,GG18 Cluster QF Web3 Community & Education,Aug 2023,159562.3,"$1,410.96"
The Red Guild,GG18 Cluster QF Web3 Community & Education,Aug 2023,156095.4,"$1,398.09"
Bankless Japan Launch Proposal  in Gitcoin,GG18 Cluster QF Web3 Community & Education,Aug 2023,"144,549.90","$1,385.67"
ReFi Japan,GG18 Cluster QF Web3 Community & Education,Aug 2023,143820.6,"$1,376.19"
Ethereum Cat Herders,GG18 Cluster QF Web3 Community & Education,Aug 2023,140782.4,"$1,372.21"
RADAR,GG18 Cluster QF Web3 Community & Education,Aug 2023,139571.8,"$1,366.88"
Crypto Altruism – Accessible Web3 Education for Nonprofits and Changemakers,GG18 Cluster QF Web3 Community & Education,Aug 2023,138120.2,"$1,338.20"
DHK dao,GG18 Cluster QF Web3 Community & Education,Aug 2023,137982,"$1,336.48"
Metagov,GG18 Cluster QF Web3 Community & Education,Aug 2023,129822.5,"$1,307.04"
Women in Blockchain Farsi: Empowering and Educating the Farsi-Speaking Community,GG18 Cluster QF Web3 Community & Education,Aug 2023,121073.9,"$1,297.73"
Fork DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,119144.9,"$1,277.36"
FABDAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,116271.1,"$1,212.31"
OpenData Community,GG18 Cluster QF Web3 Community & Education,Aug 2023,113944,"$1,184.80"
BanklessUA,GG18 Cluster QF Web3 Community & Education,Aug 2023,111197.1,"$1,170.76"
Empowering women and girls through education and digital skills access,GG18 Cluster QF Web3 Community & Education,Aug 2023,109625,"$1,166.22"
Dream DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,96867.3,"$1,113.45"
Gravity DAO,GG18 Cluster QF Web3 Community & Education,Aug 2023,94371,"$1,103.69"
Boring Security,GG18 Cluster QF Web3 Community & Education,Aug 2023,86356.4,"$1,056.66"
