Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Revoke.cash,GG19 Cluster QF Open Source Software,Nov 2023,"400,000","$14,840.00"
OmniBTC,GG19 Cluster QF Open Source Software,Nov 2023,"300,000","$14,840.00"
JediSwap,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$14,840.00"
Hey.xyz (formerly Lenster),GG19 Cluster QF Open Source Software,Nov 2023,"100,000","$14,840.00"
DefiLlama,GG19 Cluster QF Open Source Software,Nov 2023,"4,000,000","$12,295.73"
IDriss - A more usable web3 for everyone,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$12,164.75"
"Mini Bridge: ""0"" rate Cross-L2 protocol  by Chaineye",GG19 Cluster QF Open Source Software,Nov 2023,"20,000","$6,641.45"
Umbra,GG19 Cluster QF Open Source Software,Nov 2023,"25,000","$6,519.84"
BrightID 🔆 Universal Proof of Uniqueness,GG19 Cluster QF Open Source Software,Nov 2023,"2,500","$5,427.73"
IDENA,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$4,793.93"
Hypercerts Foundation,GG19 Cluster QF Open Source Software,Nov 2023,"45,000","$4,497.17"
Carmine Options AMM,GG19 Cluster QF Open Source Software,Nov 2023,"30,000","$3,956.49"
The Tor Project,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$3,930.59"
Tape (formerly Lenstube),GG19 Cluster QF Open Source Software,Nov 2023,"22,500","$3,705.34"
Iron Wallet,GG19 Cluster QF Open Source Software,Nov 2023,"40,000","$3,286.83"
Sybil Defense for Public Goods - with privacy,GG19 Cluster QF Open Source Software,Nov 2023,"10,000","$3,233.10"
Kleo Network,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$3,147.99"
POAPin,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$2,844.95"
Mirror,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$2,714.01"
Starksheet,GG19 Cluster QF Open Source Software,Nov 2023,"150,000","$2,381.30"
Citizen Wallet - an open source wallet with account abstraction for your community,GG19 Cluster QF Open Source Software,Nov 2023,"235,000","$1,943.00"
Zk- Block | Tools for Zk & Web3 Dapps,GG19 Cluster QF Open Source Software,Nov 2023,"200,000","$1,819.56"
Impersonator,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$1,671.52"
Web3 GPT,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$1,601.97"
4EVERLAND,GG19 Cluster QF Open Source Software,Nov 2023,"30,000","$1,576.14"
Glo Dollar,GG19 Cluster QF Open Source Software,Nov 2023,"250,000","$1,570.32"
Gitcoin Passport Plugin for Discourse,GG19 Cluster QF Open Source Software,Nov 2023,"18,000","$1,493.73"
Astral,GG19 Cluster QF Open Source Software,Nov 2023,"10,000","$1,486.97"
Gitcoin Grants Data Portal,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$1,482.07"
Sybil-scorer,GG19 Cluster QF Open Source Software,Nov 2023,"25,000","$1,402.64"
ZeroPool,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$1,222.34"
Rouge Ticket,GG19 Cluster QF Open Source Software,Nov 2023,"30,000","$1,163.84"
Commons Stack,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$1,156.42"
ZKP2P Fiat On Ramp,GG19 Cluster QF Open Source Software,Nov 2023,"25,000","$1,064.41"
Epoch Protocol,GG19 Cluster QF Open Source Software,Nov 2023,"50,000","$1,050.17"
ENS Wayback Machine,GG19 Cluster QF Open Source Software,Nov 2023,"46,000",$945.00
1Hive Gardens,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$923.73
growthepie.xyz 🥧📏 - Layer 2 and Blockspace Analytics,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$920.82
dm3 protocol - the interoperability initiative,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$900.06
Open Source Observer,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$889.84
Qortal,GG19 Cluster QF Open Source Software,Nov 2023,"200,000",$821.28
Ether Alpha,GG19 Cluster QF Open Source Software,Nov 2023,"250,000",$805.62
WTF Academy,GG19 Cluster QF Open Source Software,Nov 2023,"2,000",$799.90
DappReader,GG19 Cluster QF Open Source Software,Nov 2023,"40,000",$782.33
dSentra,GG19 Cluster QF Open Source Software,Nov 2023,"30,000",$764.00
zkVRF,GG19 Cluster QF Open Source Software,Nov 2023,"200,000",$686.09
Punk Domains | Web3 Social Names Protocol,GG19 Cluster QF Open Source Software,Nov 2023,"20,000",$675.20
Pepemon: Degen Battleground,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$650.27
Proof of Philanthropy: A Verifiable Giving Pledge for the Modern Age,GG19 Cluster QF Open Source Software,Nov 2023,"248,500",$642.90
Smoothly,GG19 Cluster QF Open Source Software,Nov 2023,"200,000",$628.78
Praise,GG19 Cluster QF Open Source Software,Nov 2023,"200,000",$625.70
Ambire Wallet,GG19 Cluster QF Open Source Software,Nov 2023,"75,000",$610.55
uniswap-python,GG19 Cluster QF Open Source Software,Nov 2023,"40,000",$610.33
"Pairwise: Simplifying Choices, Amplifying Voices",GG19 Cluster QF Open Source Software,Nov 2023,"20,000",$609.95
Osmium,GG19 Cluster QF Open Source Software,Nov 2023,"40,000",$567.79
wagmi fund,GG19 Cluster QF Open Source Software,Nov 2023,"37,500",$538.56
viaPrize,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$521.31
ethstaker.tax,GG19 Cluster QF Open Source Software,Nov 2023,"40,000",$504.35
Donate3,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$501.35
WalletX,GG19 Cluster QF Open Source Software,Nov 2023,"25,000",$490.60
DAOstar,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$487.42
Solve3 | Bot Protection for Smart Contracts,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$476.92
Using ZK for game optimization in Dark Forest,GG19 Cluster QF Open Source Software,Nov 2023,"25,000",$473.79
Karma GAP,GG19 Cluster QF Open Source Software,Nov 2023,"25,000",$469.27
Jolly-Roger,GG19 Cluster QF Open Source Software,Nov 2023,"30,000",$451.25
GiveStation (youbuidl),GG19 Cluster QF Open Source Software,Nov 2023,"45,000",$431.90
Rings Network,GG19 Cluster QF Open Source Software,Nov 2023,"50,000",$429.63
datalatte ☕️,GG19 Cluster QF Open Source Software,Nov 2023,"35,000",$422.23
ZenGuard,GG19 Cluster QF Open Source Software,Nov 2023,"104,000",$420.59
Regen Score,GG19 Cluster QF Open Source Software,Nov 2023,"100,000",$414.84
Thunder Chat,GG19 Cluster QF Open Source Software,Nov 2023,"145,000",$409.85
