Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Trustalabs,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,"$14,840.00"
EtherScore,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,"$13,875.45"
ZachXBT,GG19 Cluster QF Web3 Community & Education,Nov 2023,200000,"$8,796.68"
Giveth,GG19 Cluster QF Web3 Community & Education,Nov 2023,250000,"$4,685.60"
Alpha Insiders,GG19 Cluster QF Web3 Community & Education,Nov 2023,150000,"$3,309.58"
Olimpio Education,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,"$3,029.99"
Revoke All,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,"$2,341.02"
BanklessDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,"35,000","$2,265.98"
GreenPill Network,GG19 Cluster QF Web3 Community & Education,Nov 2023,19500,"$2,237.07"
Wizard Bridge EVM,GG19 Cluster QF Web3 Community & Education,Nov 2023,25000,"$2,160.07"
Metopia,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,"$2,069.14"
Week in Ethereum News,GG19 Cluster QF Web3 Community & Education,Nov 2023,"28,000","$2,051.53"
EtherDrops Bot,GG19 Cluster QF Web3 Community & Education,Nov 2023,33000,"$1,976.08"
ITU Blockchain,GG19 Cluster QF Web3 Community & Education,Nov 2023,"38,000","$1,849.81"
Funding the Commons,GG19 Cluster QF Web3 Community & Education,Nov 2023,39200,"$1,818.14"
The Rollup,GG19 Cluster QF Web3 Community & Education,Nov 2023,"30,000","$1,706.01"
Castle Capital,GG19 Cluster QF Web3 Community & Education,Nov 2023,"35,000","$1,669.80"
Bankless Academy,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,"$1,650.35"
OpenCivics,GG19 Cluster QF Web3 Community & Education,Nov 2023,"30,000","$1,613.05"
Unitap,GG19 Cluster QF Web3 Community & Education,Nov 2023,"34,000","$1,553.50"
Rhino Review - Ethereum Staking Journal,GG19 Cluster QF Web3 Community & Education,Nov 2023,"25,000","$1,517.54"
Web3beach,GG19 Cluster QF Web3 Community & Education,Nov 2023,"210,000","$1,493.94"
MetaGame,GG19 Cluster QF Web3 Community & Education,Nov 2023,"75,000","$1,490.62"
Fractal Visions,GG19 Cluster QF Web3 Community & Education,Nov 2023,"210,000","$1,483.69"
LexDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,210000,"$1,424.45"
Web3 Security,GG19 Cluster QF Web3 Community & Education,Nov 2023,80000,"$1,405.85"
Regens Unite - bridging the gap between web3 and local regens,GG19 Cluster QF Web3 Community & Education,Nov 2023,210000,"$1,342.72"
Decentralized Science on Gitcoin,GG19 Cluster QF Web3 Community & Education,Nov 2023,"210,000","$1,287.81"
LensPlay,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,"$1,252.80"
Public Nouns Operations,GG19 Cluster QF Web3 Community & Education,Nov 2023,25000,"$1,218.82"
DeBox,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,"$1,214.80"
The Noun Square,GG19 Cluster QF Web3 Community & Education,Nov 2023,200000,"$1,207.69"
Gravity DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,400000,"$1,203.14"
Blocktrend（區塊勢）,GG19 Cluster QF Web3 Community & Education,Nov 2023,400000,"$1,200.61"
Boring Security,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,"$1,180.13"
Upgrading Ethereum Book,GG19 Cluster QF Web3 Community & Education,Nov 2023,11000,"$1,151.99"
Urbanika and the Self-Management Neighborhood Course,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,"$1,134.74"
ENS DAO Newsletter:  Providing news and core ENS development to the global Ethereum community.,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,"$1,083.08"
ReFi DAO - A New Chapter…,GG19 Cluster QF Web3 Community & Education,Nov 2023,11000,"$1,069.43"
The Blockchain Socialist,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,"$1,065.91"
Coin Center,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,"$1,023.54"
Metagov,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,"$1,010.54"
Crypto Altruism – Accessible Web3 Education for Nonprofits and Changemakers,GG19 Cluster QF Web3 Community & Education,Nov 2023,65000,$994.30
Biteye,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$979.56
Psychedelic Puppet Show DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$948.11
JobStash,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$924.99
Public Good Africa,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$914.13
Onlyfun,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$908.22
Dream DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$900.47
OpenData Community,GG19 Cluster QF Web3 Community & Education,Nov 2023,34000,$878.90
Altcointurk,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,$873.43
Drainer Doom Bot,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$872.57
Bankless Publishing,GG19 Cluster QF Web3 Community & Education,Nov 2023,45000,$854.43
Ethereum Mexico,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$811.03
PizzaDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,15000,$805.09
Web3 Galaxy Brain 🌌🧠,GG19 Cluster QF Web3 Community & Education,Nov 2023,1000,$803.24
ODTU Blockchain,GG19 Cluster QF Web3 Community & Education,Nov 2023,15000,$800.12
Ethereum News Podcast,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$791.66
Plurality.net,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$786.48
MAX IMPACT & Let's GROW DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$761.05
"ReFi Medellín - Join the movement towards a more sustainable and equitable future in Medellín, Colombia",GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$739.06
Ethereum Lima,GG19 Cluster QF Web3 Community & Education,Nov 2023,200000,$738.11
Trusted Seed,GG19 Cluster QF Web3 Community & Education,Nov 2023,200000,$731.62
Proof of Integrity,GG19 Cluster QF Web3 Community & Education,Nov 2023,200000,$717.74
Kairos Research,GG19 Cluster QF Web3 Community & Education,Nov 2023,70000,$716.73
UFO,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$707.71
Bankless Africa,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$702.81
Atalis Network,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$692.35
Rifai Sicilia,GG19 Cluster QF Web3 Community & Education,Nov 2023,400000,$676.06
ELI5 💡 DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,$667.22
L2 Planet,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$652.92
A Nacion Bankless Perspective,GG19 Cluster QF Web3 Community & Education,Nov 2023,80000,$642.33
Gitcoin China Ecosystem Development,GG19 Cluster QF Web3 Community & Education,Nov 2023,75000,$639.09
Greenpill NYC,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$630.95
Bankless Japan,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$629.90
1c4m3by ScamHunt,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,$624.03
Drew Security,GG19 Cluster QF Web3 Community & Education,Nov 2023,40000,$620.70
Bankless Turkish,GG19 Cluster QF Web3 Community & Education,Nov 2023,60000,$611.69
Crypto Sapiens,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$611.14
Silvi,GG19 Cluster QF Web3 Community & Education,Nov 2023,18000,$605.34
Modular Crypto,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,$586.23
ResearchHub Foundation - Peer Review,GG19 Cluster QF Web3 Community & Education,Nov 2023,16000,$584.80
VoiceDeck: A Marketplace for Journalism Impact Certificates,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$583.57
ReFi Phangan,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$581.87
JonHQ Discord Security,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$579.19
OpSci: Open Science on Web3,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$575.41
Bloom Network,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$573.43
Helpers Social Development Foundation: Teaching web3 & digital skills while supporting vulnerable children to go to school,GG19 Cluster QF Web3 Community & Education,Nov 2023,250000,$571.82
Mechanism Institute,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$564.98
Green Digital Guardians,GG19 Cluster QF Web3 Community & Education,Nov 2023,15000,$557.24
Web3Dev.Community,GG19 Cluster QF Web3 Community & Education,Nov 2023,40000,$554.11
Colton Orr builds AceTCG,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$553.26
ETHIstanbul,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$551.17
ETHMedellin,GG19 Cluster QF Web3 Community & Education,Nov 2023,10000,$549.89
Ethereum Bolivia 2024: Community and Buildathon,GG19 Cluster QF Web3 Community & Education,Nov 2023,15000,$547.96
Web3 Grants Community Organization - Metagov,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,$544.69
ReFi Mexico // #GC19 - The regeneration continues 🌱✨🌾,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$544.57
GreenPill Türkiye 🇹🇷,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$539.75
ReFi Japan,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$533.93
ReFi Colombia,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$532.35
GreenPill Nigeria(Q4),GG19 Cluster QF Web3 Community & Education,Nov 2023,25000,$532.04
ETHSafari-2024,GG19 Cluster QF Web3 Community & Education,Nov 2023,21000,$531.36
DAO Club,GG19 Cluster QF Web3 Community & Education,Nov 2023,45000,$524.95
Ayowecca Uganda : Skills training for women & girls in rural & indigenous communities for economic empowerment and crypto education in Tororo Uganda,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$524.77
Fracton Ventures Research,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,$522.33
ReFi Lagos,GG19 Cluster QF Web3 Community & Education,Nov 2023,23000,$518.91
FrontierDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$517.72
MotusDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,30054,$516.51
Mycelia - Retornando à Mãe Terra,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$512.64
GreenPill India Chapter,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$512.42
Wild Sherpas DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$510.69
Nextme,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$505.33
Revolte,GG19 Cluster QF Web3 Community & Education,Nov 2023,20000,$495.98
BanklessDeSci,GG19 Cluster QF Web3 Community & Education,Nov 2023,12000,$493.29
Nurstar,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$493.26
Cryptoversidad,GG19 Cluster QF Web3 Community & Education,Nov 2023,38000,$492.51
mxweb3 crypto hub,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$490.00
Intelligence On Chain,GG19 Cluster QF Web3 Community & Education,Nov 2023,40000,$486.42
Decentralizing Journalism to Restore Public Trust,GG19 Cluster QF Web3 Community & Education,Nov 2023,38500,$486.40
Ethereal Forest is Building PDX DAO as a Public Good,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$486.09
DeSci Africa,GG19 Cluster QF Web3 Community & Education,Nov 2023,40000,$484.70
RnDAO - empowering humane collaboration,GG19 Cluster QF Web3 Community & Education,Nov 2023,5680,$478.47
Good Knight,GG19 Cluster QF Web3 Community & Education,Nov 2023,30000,$475.36
impactMarket: Financial education & microcredit to vulnerable communities.,GG19 Cluster QF Web3 Community & Education,Nov 2023,5000,$470.46
Web3 Sanctuary,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$465.77
Ethereum Colombia DAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,250000,$456.27
ETHAccra,GG19 Cluster QF Web3 Community & Education,Nov 2023,10750,$454.33
MetricsDAO,GG19 Cluster QF Web3 Community & Education,Nov 2023,150000,$447.48
Weaving Worlds Cooperative,GG19 Cluster QF Web3 Community & Education,Nov 2023,150000,$447.01
Bonding Curve Research Group (BCRG),GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$444.15
Hack ReFi,GG19 Cluster QF Web3 Community & Education,Nov 2023,100000,$442.12
DeSci Asia,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$437.20
DeSci Landscape Analysis,GG19 Cluster QF Web3 Community & Education,Nov 2023,35000,$432.88
SunnyDao,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$432.79
cadCAD: Computer Aided Design for Complex Systems,GG19 Cluster QF Web3 Community & Education,Nov 2023,50000,$428.25
