Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Protocol Guild,Epoch 1,09 August -> 03 November 2023,43.52,"$89,282.25"
Rotki,Epoch 1,09 August -> 03 November 2023,33.92,"$69,581.53"
Hypercerts,Epoch 1,9 August -> 03 November 2023,27.72,"$56,869.24"
Tor Project,Epoch 1,9 August -> 03 November 2023,26.19,"$53,736.92"
Giveth,Epoch 1,9 August -> 03 November 2023,13.83,"$28,374.51"
Drips,Epoch 1,9 August -> 03 November 2023,13.26,"$27,201.02"
OnionDAO,Epoch 1,9 August -> 03 November 2023,10.40,"$21,335.40"
Gitcoin,Epoch 1,9 August -> 03 November 2023,8.18,"$16,775.81"
Ethereum Cat Herders,Epoch 1,9 August -> 03 November 2023,8.04,"$16,496.39"
DAO Drops,Epoch 1,9 August -> 03 November 2023,7.44,"$15,269.76"
Kernel,Epoch 1,9 August -> 03 November 2023,6.91,"$14,178.33"
EthStaker,Epoch 1,9 August -> 03 November 2023,6.82,"$13,996.97"
BrightID,Epoch 1,9 August -> 03 November 2023,6.52,"$13,380.48"
Clr.fund,Epoch 1,9 August -> 03 November 2023,6.46,"$13,256.77"
MetaGame,Epoch 1,9 August -> 03 November 2023,6.36,"$13,047.72"
PublicHAUS,Epoch 1,9 August -> 03 November 2023,6.35,"$13,027.82"
Pairwise,Epoch 1,9 August -> 03 November 2023,6.05,"$12,416.66"
Praise,Epoch 1,9 August -> 03 November 2023,5.97,"$12,240.63"
Glo Dollar,Epoch 1,9 August -> 03 November 2023,5.77,"$11,828.27"
