Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Protocol Guild,Epoch 2,20 October 2023 -> 01 February 2024,36.55,"$122,056.63"
Drips,Epoch 2,20 October 2023 -> 01 February 2024,21.38,"$71,408.41"
EthStaker,Epoch 2,20 October 2023 -> 01 February 2024,18.35,"$61,260.73"
Hypercerts,Epoch 2,20 October 2023 -> 01 February 2024,16.38,"$54,698.08"
L2BEAT,Epoch 2,20 October 2023 -> 01 February 2024,16.11,"$53,781.45"
Revoke.cash,Epoch 2,20 October 2023 -> 01 February 2024,15.31,"$51,123.40"
Open Source Observer,Epoch 2,20 October 2023 -> 01 February 2024,12.96,"$43,283.49"
Funding the Commons,Epoch 2,20 October 2023 -> 01 February 2024,12.15,"$40,557.65"
MetaGame,Epoch 2,20 October 2023 -> 01 February 2024,11.39,"$38,034.17"
Rotki,Epoch 2,20 October 2023 -> 01 February 2024,11.06,"$36,946.57"
Giveth,Epoch 2,20 October 2023 -> 01 February 2024,10.23,"$34,160.96"
Tor Project,Epoch 2,20 October 2023 -> 01 February 2024,8.95,"$29,883.04"
Pairwise,Epoch 2,20 October 2023 -> 01 February 2024,7.99,"$26,680.35"
Ethereum Cat Herders,Epoch 2,20 October 2023 -> 01 February 2024,6.19,"$20,671.02"
Gitcoin,Epoch 2,20 October 2023 -> 01 February 2024,5.65,"$18,852.46"
Praise,Epoch 2,20 October 2023 -> 01 February 2024,5.43,"$18,146.87"
Shielded Voting,Epoch 2,20 October 2023 -> 01 February 2024,5.20,"$17,368.16"
Glo Dollar,Epoch 2,20 October 2023 -> 01 February 2024,5.02,"$16,747.72"
DAO Drops,Epoch 2,20 October 2023 -> 01 February 2024,4.92,"$16,433.83"
