Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
Protocol Guild,Epoch 3,18 January -> 01 May 2024,77.37,"$291,100.45"
GrowThePie,Epoch 3,18 January -> 01 May 2024,52.21,"$196,457.51"
NiceNode,Epoch 3,18 January -> 01 May 2024,52.13,"$196,132.79"
Shielded Voting,Epoch 3,18 January -> 01 May 2024,51.97,"$195,549.96"
Web3.js,Epoch 3,18 January -> 01 May 2024,32.59,"$122,630.73"
Web3.py,Epoch 3,18 January -> 01 May 2024,32.34,"$121,681.04"
Hypercerts,Epoch 3,18 January -> 01 May 2024,27.74,"$104,392.37"
Rotki,Epoch 3,18 January -> 01 May 2024,19.76,"$74,332.48"
Giveth,Epoch 3,18 January -> 01 May 2024,13.31,"$50,073.86"
