Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
BrightID,Round 2,Jan 2023,,$164.00
WalletConnect,Round 2,Jan 2023,,$98.00
Turbo-geth,Round 2,Jan 2023,,$70.00
Hardhat,Round 2,Jan 2023,,$66.00
BanklessFR,Round 2,Jan 2023,,$53.00
RadicalxChange Foundation,Round 2,Jan 2023,,$53.00
Whaler DAO,Round 2,Jan 2023,,$51.00
OpenEthereum,Round 2,Jan 2023,,$49.00
Vocdoni,Round 2,Jan 2023,,$46.00
The Daily Gwei FR,Round 2,Jan 2023,,$44.00
Rotki,Round 2,Jan 2023,,$42.00
TrueBlocks,Round 2,Jan 2023,,$40.00
Upala Digital Identity,Round 2,Jan 2023,,$36.00
Ethereum Cat Holders,Round 2,Jan 2023,,$22.00
