Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
clr.fund,Round 0,Jan 2023,,$165.00
Turbo-geth,Round 0,Jan 2023,,$151.00
Giveth,Round 0,Jan 2023,,$111.00
WalletConnect,Round 0,Jan 2023,,$141.00
BrightID 🔆,Round 0,Jan 2023,,$128.00
Rotki,Round 0,Jan 2023,,$94.00
TrueBlocks,Round 0,Jan 2023,,$79.00
Vyper.fun,Round 0,Jan 2023,,$51.00
BanklessFR,Round 0,Jan 2023,,$45.00
RadicalxChange,Round 0,Jan 2023,,$45.00
Minerva Wallet,Round 0,Jan 2023,,$0.00
