Recipient / Grantee,Wave/Round,Term,Amount (ETH),Amount (USD)
BrightID 🔆,Round 1,Jan 2023,,$238.00
clr.fund,Round 1,Jan 2023,,$165.00
WalletConnect,Round 1,Jan 2023,,$133.00
Minerva Wallet,Round 1,Jan 2023,,$113.00
Turbo-geth,Round 1,Jan 2023,,$71.00
Giveth,Round 1,Jan 2023,,$53.00
Vocdoni,Round 1,Jan 2023,,$52.00
RadicalxChange,Round 1,Jan 2023,,$48.00
TrueBlocks,Round 1,Jan 2023,,$39.00
Rotki,Round 1,Jan 2023,,$33.00
Ethereum Cat Holders,Round 1,Jan 2023,,$26.00
BanklessFR,Round 1,Jan 2023,,$18.00
Vyper.fun,Round 1,Jan 2023,,$12.00
Reward Court,Round 1,Jan 2023,,$0.00
The Daily Gwei FR,Round 1,Jan 2023,,$0.00
