Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Africa Founder Residency,Cycle15,Aug 2023,30000,"$41,760"
Autonomous World Ecosystem - AW House (Cycle 15),Cycle15,Aug 2023,35000,"$48,720"
Breadcrumbs.app,Cycle15,Aug 2023,"35,000","$48,720"
Harberger Tax implementation & EIP Draft,Cycle15,Aug 2023,19500,"$27,144"
Hedgehog Protocol,Cycle15,Aug 2023,25000,"$34,800"
Infinity Wallet - Builder Cycle 15,Cycle15,Aug 2023,30000,"$41,760"
Inheriti® Data Backup and Digital Inheritance Solution,Cycle15,Aug 2023,"28,000","$38,976"
MultiBaas blockchain middleware,Cycle15,Aug 2023,33000,"$45,936"
Ocean Protocol for AI on Optimism,Cycle15,Aug 2023,"38,000","$52,896"
Onboarding Brazilian Developers,Cycle15,Aug 2023,39200,"$54,566"
Reputation & Roles,Cycle15,Aug 2023,"30,000","$41,760"
Scalind - OP Chains constructor,Cycle15,Aug 2023,"35,000","$48,720"
Soldeer,Cycle15,Aug 2023,30000,"$41,760"
Station Labs | A new meta for activating and engaging smart accounts ,Cycle15,Aug 2023,"30,000","$41,760"
Superchain Resolver: Manage ENS Records on OP Chains (storage proofs),Cycle15,Aug 2023,"34,000","$47,328"
viaPrize,Cycle15,Aug 2023,"25,000","$34,800"
Beefy - Universal Zap,Cycle15,Aug 2023,"210,000","$292,320"
"DRPC - a more affordable, cost-efficient, and scalable RPC solution for Optimism",Cycle15,Aug 2023,"75,000","$104,400"
Immunefi Bug Bounty Program for Protocols building on Optimism,Cycle15,Aug 2023,"210,000","$292,320"
Kwenta Referral Program,Cycle15,Aug 2023,210000,"$292,320"
Lemon Cash Grant Proposal,Cycle15,Aug 2023,80000,"$111,360"
LYRA V2,Cycle15,Aug 2023,210000,"$292,320"
Velodrome Finance,Cycle15,Aug 2023,"210,000","$292,320"
"""Blocknative Open Transaction Explorer with Optimism L2 mainnet support | RFG-1
""",Cycle15,Aug 2023,30000,"$41,760"
MultiBaas historical data,Cycle15,Aug 2023,25000,"$34,800"
seal: UI for smart contracts,Cycle15,Aug 2023,100000,"$139,200"
[RFG-3] Sherlock Audits,Cycle15,Aug 2023,200000,"$278,400"
[RFG-3] Trail of Bits Security Reviews,Cycle15,Aug 2023,400000,"$556,800"
Cantina.xyx and Spearbit Labs: RFG-3,Cycle15,Aug 2023,400000,"$556,800"
LlamaNodes | High-Performant & Cost-Effective RPCs,Cycle15,Aug 2023,100000,"$139,200"
FHE x OP ,Cycle15,Aug 2023,11000,"$15,312"
Identity Fusion in the Optimism Ecosystem ,Cycle15,Aug 2023,20000,"$27,840"
Metagov,Cycle15,Aug 2023,20000,"$27,840"
Shapley Values,Cycle15,Aug 2023,11000,"$15,312"
Tokenbound: Tooling for 6551,Cycle15,Aug 2023,50000,"$69,600"
Compete Guide To Cross Chain / Rollup Interoperability,Cycle15,Aug 2023,100000,"$139,200"
Cross-chain interoperability research,Cycle15,Aug 2023,100000,"$139,200"
