Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Nethermind CL Client - C#,22 - intent 1,May 2024,50000,"$122,750"
op-besu - an OP Stack execution client based on hyperledger besu,22 - intent 1,May 2024,50000,"$122,750"
The OP Fault Proof CTF,22 - intent 1,May 2024,250000,"$613,750"
Generalized mempool encryption interface for OP Stack chains and deployment of a mempool encrypted OP Stack testnet using threshold encryption.,22 - intent 1,May 2024,50000,"$122,750"
Research on using YubiHSM and AWS KMS hardware signer on OP Stack,22 - intent 1,May 2024,15000,"$36,825"
Batcher Gas Fee Optimization Research and Implementation,22 - intent 1,May 2024,40000,"$98,200"
Extend the Availability of EIP-4844 Blobs by Integrating OP Stack with EthStorage,22 - intent 1,May 2024,30000,"$73,650"
OPcity stack,22 - intent 1,May 2024,30000,"$73,650"
blob-archiver-rs - a robust blob-archiver service in rust,22 - intent 1,May 2024,10000,"$24,550"
PlasmaDA Translation Hub,22 - intent 1,May 2024,15000,"$36,825"
Node Guardians x OP Stack,22 - intent 1,May 2024,20000,"$49,100"
Veldrome Finance - OS Developer Tooling,22 - intent 1,May 2024,30000,"$73,650"
(Migrate) Inverter Network,22 - intent 2,May 2024,50000,"$122,750"
A Multichain Modular Privacy Framework with a decentralized compliance network,22 - intent 2,May 2024,50000,"$122,750"
aDeal network,22 - intent 2,May 2024,35000,"$85,925"
Ame Network - Composable Social Network,22 - intent 2,May 2024,25000,"$61,375"
BlockPI Account Abstraction Service,22 - intent 2,May 2024,21000,"$51,555"
Bloom Metrics: The Optimism Impact Garden,22 - intent 2,May 2024,45000,"$110,475"
Bonadocs,22 - intent 2,May 2024,50000,"$122,750"
Building an On-Chain Review System with EAS,22 - intent 2,May 2024,20000,"$49,100"
dAppBooster: Frontend Starter Kit,22 - intent 2,May 2024,23000,"$56,465"
DappyKit - Superchain,22 - intent 2,May 2024,50000,"$122,750"
Dark Forest ARES,22 - intent 2,May 2024,30054,"$73,783"
Ethernaut CLI,22 - intent 2,May 2024,50000,"$122,750"
Executable: An intent-oriented Multi-Tx Tool,22 - intent 2,May 2024,35000,"$85,925"
Godot engine gdscript sdk for connect optimism,22 - intent 2,May 2024,35000,"$85,925"
growthepie ðŸ¥§ðŸ“ Application-Level Analytics for the Superchain,22 - intent 2,May 2024,50000,"$122,750"
In-depth fee tracker for OP chains on fees.growthepie.xyz,22 - intent 2,May 2024,20000,"$49,100"
Mississippi Game Hackathon,22 - intent 2,May 2024,12000,"$29,460"
Namespace,22 - intent 2,May 2024,5000,"$12,275"
OP Passport,22 - intent 2,May 2024,38000,"$93,290"
Optimistic Crowdstaking: Funding more Builders on Optimism,22 - intent 2,May 2024,30000,"$73,650"
Polynomial Optimistic Indexer ,22 - intent 2,May 2024,40000,"$98,200"
