Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Redprint : toolkit an interactive code generator and a dev framework to modify & deploy OPStack â€™s contracts,22 - intent 2,May 2024,38500,"$94,518"
Strands' Optimism Integration Acceleration,22 - intent 2,May 2024,35000,"$85,925"
Superchain Trading Tools,22 - intent 2,May 2024,40000,"$98,200"
Tribuni: Forum & Proposal Alerts/Summary System,22 - intent 2,May 2024,5680,"$13,944"
Unifra- Open Infrastructure for everyone,22 - intent 2,May 2024,30000,"$73,650"
Vain - An open marketplace for mining vanity ETH addresses,22 - intent 2,May 2024,5000,"$12,275"
[Pike] Unlocking the Multichain Utility of OP,22 - intent 2,May 2024,50000,"$122,750"
Proposal: Silo Finance,22 - intent 2,May 2024,250000,"$613,750"
Broaden & Deepen Governance Token User Base,22 - intent 2,May 2024,10750,"$26,391"
Compound Finance,22 - intent 2,May 2024,150000,"$368,250"
deBridge,22 - intent 2,May 2024,150000,"$368,250"
Cobo Argus: Optimism DeFi Automation Platform for Institutions,22 - intent 2,May 2024,50000,"$122,750"
LOGX: Aggregated Orderbook Perp DEX,22 - intent 2,May 2024,100000,"$245,500"
Poolside,22 - intent 2,May 2024,50000,"$122,750"
Supercharge OP Mainnet,22 - intent 2,May 2024,35000,"$85,925"
Mountain Protocol,22 - intent 2,May 2024,50000,"$122,750"
Contango.xyz,22 - intent 2,May 2024,50000,"$122,750"
Covenant - Tradeable Debt Markets Backed By Any Asset,22 - intent 2,May 2024,50000,"$122,750"
Curve Lending Proposal,22 - intent 2,May 2024,150000,"$368,250"
Gamma Strategies - Growth Experiments,22 - intent 2,May 2024,150000,"$368,250"
Timeswap,22 - intent 2,May 2024,30000,"$73,650"
bleu - tech partner of OP native projects,22 - intent 2,May 2024,40000,"$98,200"
Glo Dollar - upgrade to funding RetroPGF,22 - intent 2,May 2024,50000,"$122,750"
Velodrome Finance - Revenue Sources for RPGF ,22 - intent 2,May 2024,50000,"$122,750"
zk Toolkit by Reclaim Protocol ,22 - intent 2,May 2024,5000,"$12,275"
Anonymous Voting PoC,22 - intent 3,May 2024,8000,"$19,640"
Interested.fyi: Building new Social Graphs on Farcaster,22 - intent 3,May 2024,37500,"$92,063"
Daimo,22 - intent 3,May 2024,50000,"$122,750"
Implement Farcaster social graph data into CoLinks and CoSoul onchain reputation,22 - intent 3,May 2024,50000,"$122,750"
AlfaFrens,22 - intent 3,May 2024,30000,"$73,650"
Ponder surveys for superchain builders,22 - intent 3,May 2024,80000,"$196,400"
GridExplore,22 - intent 3,May 2024,36000,"$88,380"
Speedtracer,22 - intent 3,May 2024,5000,"$12,275"
Castpay: P2P Transaction and Yield Earning Tool on Warpcast,22 - intent 3,May 2024,7890,"$19,370"
HyperArc - Make Social Graphs Great Again,22 - intent 3,May 2024,35000,"$85,925"
Noun PCs - Zynga for Farcaster,22 - intent 3,May 2024,40000,"$98,200"
Wormhole Foundation - wstETH Bridge,22 - intent 3,May 2024,50000,"$122,750"
PoolTogether Rocket Pool Prize Vaults,22 - intent 3,May 2024,120000,"$294,600"
Sommelier Real Yield ETH (LST Vault) on OP,22 - intent 3,May 2024,50000,"$122,750"
Balancer LST and LRT Hub,22 - intent 3,May 2024,100000,"$245,500"
ETHx on OP,22 - intent 3,May 2024,50000,"$122,750"
Stake Together L2 Staking Products on Optimism,22 - intent 3,May 2024,50000,"$122,750"
Opti.domains ENS L2 Development,22 - intent 3,May 2024,50000,"$122,750"
Nethermind Security - Smart Contract Audit Services,22 - intent 3,May 2024,70000,"$171,850"
Spearbit/Cantina for SC auditing and security services,22 - intent 3,May 2024,145000,"$355,975"
Trail of Bits Security Reviews,22 - intent 3,May 2024,200000,"$491,000"
Halborn - Smart Contract Auditing,22 - intent 3,May 2024,50000,"$122,750"
Sherlock - Smart Contract Audits Mission Request,22 - intent 3,May 2024,200000,"$491,000"
x23.ai - AI governance summariser + chatbot,22 - intent 4,May 2024,4000,"$9,820"
Bleu Assistant AI,22 - intent 4,May 2024,7000,"$17,185"
GovTalks: Unlocking Optimistic Potential,22 - intent 4,May 2024,10000,"$24,550"
Boosting Delegation on Optimism,22 - intent 4,May 2024,50000,"$122,750"
Velodrome Finance - Governance Participation,22 - intent 4,May 2024,40000,"$98,200"
Optimism at Rio de Janeiro Federal Universities: a collaboration with the Blockchain Innovation Hub,22 - intent 4,May 2024,20000,"$49,100"
[CENFOTEC] Optimism in Costa Rica University,22 - intent 4,May 2024,2500,"$6,138"
