Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Alchemix,Cycle8,Nov 2022,"250,000","$250,500"
Angle,Cycle8,Nov 2022,"250,000","$250,500"
InsureDAO,Cycle8,Nov 2022,"100,000","$100,200"
Curve,Cycle8,Nov 2022,"504,828","$505,838"
PoolTogether,Cycle8,Nov 2022,"550,000","$551,100"
Overnight.fi,Cycle8,Nov 2022,"400,000","$400,800"
Socket,Cycle8,Nov 2022,"500,000","$501,000"
EthernautDAO,Cycle8,Nov 2022,"120,000","$120,240"
Tally Ho ,Cycle8,Nov 2022,"400,000","$400,800"
DefiLlama,Cycle8,Nov 2022,"300,000","$300,600"
Agora,Cycle8,Nov 2022,"50,000","$50,100"
Mochi,Cycle8,Nov 2022,"100,000","$100,200"
Velodrome,Cycle8,Nov 2022,"4,000,000","$4,008,000"
