Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Overtime Markets,Cycle7,Oct 2022,"300,000","$310,500"
Sushiswap,Cycle7,Oct 2022,"504,000","$521,640"
Tarot,Cycle7,Oct 2022,"540,000","$558,900"
Dope Wars,Cycle7,Oct 2022,"300,000","$310,500"
Otterspace,Cycle7,Oct 2022,"50,000","$51,750"
Rainbow Wallet,Cycle7,Oct 2022,"420,069","$434,771"
Karma Dashboard,Cycle7,Oct 2022,"10,000","$10,350"
Karma Discourse,Cycle7,Oct 2022,"15,000","$15,525"
Safe,Cycle7,Oct 2022,"500,000","$517,500"
LI.FI,Cycle7,Oct 2022,"200,000","$207,000"
Yearn,Cycle7,Oct 2022,"1,000,000","$1,035,000"
