Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Airgap Wallet,Cycle11,Mar 2023,"18,000","$41,184"
Chaintrap,Cycle11,Mar 2023,"10,000","$22,880"
CharmVerse,Cycle11,Mar 2023,"50,000","$114,400"
DeNotify,Cycle11,Mar 2023,"25,000","$57,200"
dm3 Protocol,Cycle11,Mar 2023,"50,000","$114,400"
Footprint Analytics,Cycle11,Mar 2023,"30,000","$68,640"
Herodotus,Cycle11,Mar 2023,"50,000","$114,400"
Infinity Keys,Cycle11,Mar 2023,"25,000","$57,200"
Inverter,Cycle11,Mar 2023,"50,000","$114,400"
JiffyScan,Cycle11,Mar 2023,"46,000","$105,248"
Opti.domains,Cycle11,Mar 2023,"50,000","$114,400"
Synpress,Cycle11,Mar 2023,"50,000","$114,400"
Another World,Cycle11,Mar 2023,"50,000","$114,400"
Bored Town,Cycle11,Mar 2023,"50,000","$114,400"
dForce,Cycle11,Mar 2023,"200,000","$457,600"
Fairmint,Cycle11,Mar 2023,"250,000","$572,000"
Geo Web,Cycle11,Mar 2023,"2,000","$4,576"
Giveth,Cycle11,Mar 2023,"40,000","$91,520"
Metalswap,Cycle11,Mar 2023,"30,000","$68,640"
Galxe (Oat),Cycle11,Mar 2023,"200,000","$457,600"
Optiland Quests,Cycle11,Mar 2023,"20,000","$45,760"
Paytrie,Cycle11,Mar 2023,"50,000","$114,400"
Rabbit Hole,Cycle11,Mar 2023,"248,500","$568,568"
ShapeShift,Cycle11,Mar 2023,"200,000","$457,600"
Threshold,Cycle11,Mar 2023,"200,000","$457,600"
Vesper,Cycle11,Mar 2023,"75,000","$171,600"
