Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Atomic Links,Cycle10,Feb 2023,"50,000","$135,050"
Attestation Station Interface,Cycle10,Feb 2023,"20,000","$54,020"
Clique,Cycle10,Feb 2023,"25,000","$67,525"
DeFunds,Cycle10,Feb 2023,"2,500","$6,753"
Edge Wallet,Cycle10,Feb 2023,"50,000","$135,050"
ENS Wildcard Domains,Cycle10,Feb 2023,"45,000","$121,545"
Front running protection,Cycle10,Feb 2023,"30,000","$81,030"
Karma delegate registry,Cycle10,Feb 2023,"50,000","$135,050"
Metronomo,Cycle10,Feb 2023,"22,500","$60,773"
Rotki,Cycle10,Feb 2023,"40,000","$108,040"
Crypto LDFM,Cycle10,Feb 2023,"10,000","$27,010"
KyberSwap,Cycle10,Feb 2023,"250,000","$675,250"
Mux,Cycle10,Feb 2023,"250,000","$675,250"
Nested,Cycle10,Feb 2023,"250,000","$675,250"
Parcel,Cycle10,Feb 2023,"150,000","$405,150"
Premia,Cycle10,Feb 2023,"235,000","$634,735"
Rubicon,Cycle10,Feb 2023,"200,000","$540,200"
Sonne Finance,Cycle10,Feb 2023,"250,000","$675,250"
Thales,Cycle10,Feb 2023,"250,000","$675,250"
The Optimistic Series,Cycle10,Feb 2023,"30,000","$81,030"
Via Protocol,Cycle10,Feb 2023,"250,000","$675,250"
