Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Uniswap V3,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Oneinch,Cycle1,Jun 2022,"300,000.00","$339,000"
Celer,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Aave,Cycle1,Jun 2022,"300,000.00","$339,000"
Chainlink,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Polynomial Protocol,Cycle1,Jun 2022,"900,000.00","$1,017,000"
0x,Cycle1,Jun 2022,"300,000.00","$339,000"
Aelin,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Slingshot,Cycle1,Jun 2022,"300,000.00","$339,000"
Wepiggy,Cycle1,Jun 2022,"300,000.00","$339,000"
Thales,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Pika Protocol,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Layer2dao,Cycle1,Jun 2022,"300,000.00","$339,000"
Synthetix,Cycle1,Jun 2022,"9,000,000.00","$10,170,000"
Clipper,Cycle1,Jun 2022,"300,000.00","$339,000"
Zipswap,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Kwenta,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Hop Protocol,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Synapse,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Connext,Cycle1,Jun 2022,"300,000.00","$339,000"
Rubicon,Cycle1,Jun 2022,"900,000.00","$1,017,000"
Gelato,Cycle1,Jun 2022,"300,000.00","$339,000"
Stargate Finance,Cycle1,Jun 2022,"1,000,000.00","$1,130,000"
Lyra V1,Cycle1,Jun 2022,"3,000,000.00","$3,390,000"
Perpetual Protocol,Cycle1,Jun 2022,"9,000,000.00","$10,170,000"
