Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Culture Blocks,Cycle14,Jul 2022,4000,"$6,460"
DappyKit,Cycle14,Jul 2022,50000,"$80,750"
DeCommas,Cycle14,Jul 2023,40000,"$64,600"
EUROe,Cycle14,Jul 2023,44500,"$71,868"
GasHawk,Cycle14,Jul 2023,40000,"$64,600"
Grindery Delight,Cycle14,Jul 2023,10000,"$16,150"
growthepie,Cycle14,Jul 2023,35000,"$56,525"
Hamster,Cycle14,Jul 2023,40000,"$64,600"
Launchcaster,Cycle14,Jul 2023,25000,"$40,375"
Liquid Resilience,Cycle14,Jul 2023,20000,"$32,300"
Locksmith,Cycle14,Jul 2023,50000,"$80,750"
NFTScan,Cycle14,Jul 2023,35000,"$56,525"
Onboard &,Cycle14,Jul 2023,38800,"$62,662"
OnlyDust,Cycle14,Jul 2023,50000,"$80,750"
SafeSwap,Cycle14,Jul 2023,20000,"$32,300"
Solid Grinder,Cycle14,Jul 2023,25000,"$40,375"
Solidity Survivor,Cycle14,Jul 2023,32123,"$51,879"
Upnode,Cycle14,Jul 2023,30000,"$48,450"
Clearpool,Cycle14,Jul 2023,150000,"$242,250"
Clique,Cycle14,Jul 2023,100000,"$161,500"
Hypeshot,Cycle14,Jul 2023,60000,"$96,900"
Idle,Cycle14,Jul 2023,150000,"$242,250"
Invest in Music,Cycle14,Jul 2023,5000,"$8,075"
Let's Get HAI,Cycle14,Jul 2023,100000,"$161,500"
Liquity,Cycle14,Jul 2023,150000,"$242,250"
Mutual,Cycle14,Jul 2023,35000,"$56,525"
Octav,Cycle14,Jul 2023,45000,"$72,675"
Omni X,Cycle14,Jul 2023,75000,"$121,125"
Opti Social,Cycle14,Jul 2023,60000,"$96,900"
Optimism OAT,Cycle14,Jul 2023,250000,"$403,750"
Qubit Wallet,Cycle14,Jul 2023,50000,"$80,750"
The Optimistic Series,Cycle14,Jul 2023,30000,"$48,450"
TProtocol,Cycle14,Jul 2023,200000,"$323,000"
Velodrome,Cycle14,Jul 2023,250000,"$403,750"
Wombat Exchange,Cycle14,Jul 2023,150000,"$242,250"
