Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
Crypto-Insiders,35,,,"$17,434.80"
Velar Technologies,35,,,"$125,000.00"
Raven DAO,35,,,"$125,000.00"
Blockaid,35,,,"$120,000.00"
Kingnodes,36,,,"$57,750.00"
Binance,36,,,"$200,000.00"
Chaos Labs,36,,,"$27,000.00"
Bware Labs,36,,,"$34,146.00"
Polkachu,36,,,"$35,000.00"
Nethermind,36,,,"$65,000.00"
Espacio Cripto,36,,,"$52,000.00"
Kingnodes,37,,,"$60,000.00"
Lavender Five,37,,,"$60,000.00"
RHINO,37,,,"$60,000.00"
"Lattice Research Cayman, Inc. (dba Xenophon Labs)",37,,,"$300,000.00"
Helius,37,,,"$84,660.00"
Rage Trade,37,,,"$75,000.00"
Polkachu,37,,,"$60,000.00"
Skip Protocol,37,,,"$1,950,000.00"
Rage Trade,37,,,"$75,000.00"
"RHINO, Kingnodes, Lavender, Polkachu",37,,,"$240,000.00"
Jacob Wisniewski,38,,,"$35,000.00"
Nabla,38,,,"$11,000.00"
"Toyoji, Ltd",38,,,"$39,300.00"
Ankur Shah,38,,,"$35,000.00"
Pulsar,38,,,"$250,000.00"
Kingnodes,39,,,"$18,000.00"
Lavender Five,39,,,"$18,000.00"
RHINO,39,,,"$552,000.00"
RockawayX Labs,39,,,"$275,000.00"
BeatzXBT,39,,,"$10,000.00"
RHINO,39,,,"$18,000.00"
Nabla,39,,,"$5,000.00"
Halborn,39,,,"$35,000.00"
Polkachu,39,,,"$18,000.00"
Elixir,39,,,"$60,000.00"
Phantom,39,,,"$50,000.00"
Various,39,,,"$48,000.00"
Chainapsis,40,,,"$250,000.00"
Chaos Labs,40,,,"$100,000.00"
Helius,40,,,"$43,656.00"
AJ Lamarc,40,,,"$20,000.00"
