Optimism Geth Workshop,Wave/Round,Term,Amount (Token),Amount (USD)
Esteroids - a community .eth websites search engine,GG16 Alpha OSS,Jan 2023,"135,623.67",$442.16
Electronic Frontier Foundation,GG16 Alpha OSS,Jan 2023,"135,226.30",$433.08
Blaine Bublitz - ETH/ZK Infrastructure & Ecosystem developer,GG16 Alpha OSS,Jan 2023,"132,035.12",$423.83
minipent by pentacle,GG16 Alpha OSS,Jan 2023,"130,577.81",$376.71
Voting Contracts,GG16 Alpha OSS,Jan 2023,"129,814.43",$312.73
Optimism DAppNode Package,GG16 Alpha Eth Infra,Jan 2023,"121,700.47","$33,333.33"
L2BEAT,GG16 Alpha Eth Infra,Jan 2023,"119,584.01","$33,333.33"
Chainlist,GG16 Alpha Eth Infra,Jan 2023,"105,836.75","$33,333.33"
EthStaker,GG16 Alpha Eth Infra,Jan 2023,"101,992.05","$33,333.33"
wagmi,GG16 Alpha Eth Infra,Jan 2023,"98,824.31","$17,019.35"
beaconcha.in,GG16 Alpha Eth Infra,Jan 2023,"93,683.95","$16,127.31"
ethers.js,GG16 Alpha Eth Infra,Jan 2023,"92,270.33","$15,998.10"
NiceNode: Run a node ��� just press start,GG16 Alpha Eth Infra,Jan 2023,"91,886.73","$15,049.53"
Blockscout 2.0 - Premium Open-Source Block Explorer,GG16 Alpha Eth Infra,Jan 2023,"90,241.42","$14,918.40"
Lighthouse by Sigma Prime,GG16 Alpha Eth Infra,Jan 2023,"85,657.06","$14,029.69"
Ethereum on ARM,GG16 Alpha Eth Infra,Jan 2023,"84,018.23","$13,173.17"
BuidlGuidl,GG16 Alpha Eth Infra,Jan 2023,"79,662.51","$11,747.23"
rotki,GG16 Alpha Eth Infra,Jan 2023,"78,199.65","$11,352.05"
Lodestar,GG16 Alpha Eth Infra,Jan 2023,"73,489.50","$10,710.32"
Otterscan,GG16 Alpha Eth Infra,Jan 2023,"71,866.56","$10,669.13"
Ethereum Magicians,GG16 Alpha Eth Infra,Jan 2023,"70,988.29","$10,582.78"
Somer Esat Ethereum Staking Guides (Ubuntu),GG16 Alpha Eth Infra,Jan 2023,"68,834.84","$7,691.52"
Ape Framework,GG16 Alpha Eth Infra,Jan 2023,"65,259.35","$7,048.53"
Stereum - Ethereum Node Setup,GG16 Alpha Eth Infra,Jan 2023,"65,055.77","$6,979.11"
TrueBlocks and the Unchained Index,GG16 Alpha Eth Infra,Jan 2023,"63,907.22","$6,590.47"
smol-evm,GG16 Alpha Eth Infra,Jan 2023,"63,437.90","$5,209.78"
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",GG16 Alpha Eth Infra,Jan 2023,"62,838.16","$5,103.52"
ReFi Spring,GG16 Alpha Climate,Jan 2023,"62,648.76","$33,333.33"
ReFiDAO X Commons Stack: ReFi Commons Prize,GG16 Alpha Climate,Jan 2023,"61,332.92","$33,333.33"
Astral Protocol,GG16 Alpha Climate,Jan 2023,"60,038.39","$25,923.18"
Atlantis,GG16 Alpha Climate,Jan 2023,"58,260.33","$15,332.90"
Solarpunk Nomads: building the first two Public Goods adventure vehicles,GG16 Alpha Climate,Jan 2023,"58,180.59","$13,262.91"
WaterDAO,GG16 Alpha Climate,Jan 2023,"58,066.79","$12,498.40"
BETTER,GG16 Alpha Climate,Jan 2023,"57,564.71","$11,089.00"
The Solar Foundation,GG16 Alpha Climate,Jan 2023,"56,339.40","$10,809.79"
Bundle: Agriculture,GG16 Alpha Climate,Jan 2023,"55,061.82","$10,516.01"
LOA Labs : ReFi by South,GG16 Alpha Climate,Jan 2023,"54,551.25","$9,901.52"
Treejer Protocol,GG16 Alpha Climate,Jan 2023,"52,240.79","$8,581.38"
Bloom Network,GG16 Alpha Climate,Jan 2023,"52,154.24","$8,030.02"
Shamba Ecological Oracle and DMRV Network,GG16 Alpha Climate,Jan 2023,"51,001.26","$7,857.95"
$Earth - Solarpunk Dao,GG16 Alpha Climate,Jan 2023,"49,979.68","$7,186.79"
"Bundle #3: Verification Infrastructure (Impact Certs, Measurement, Reporting & Verification (MRV) and Oracles)",GG16 Alpha Climate,Jan 2023,"48,486.28","$7,118.54"
Bundle: Oceans & Forests,GG16 Alpha Climate,Jan 2023,"48,081.33","$6,359.57"
Bundle: Climate Research Alpha Round,GG16 Alpha Climate,Jan 2023,"47,826.28","$6,189.62"
Regens Unite: building public goods and a community to support all regens from web3 and beyond,GG16 Alpha Climate,Jan 2023,"45,993.28","$5,927.28"
Kokonut Network,GG16 Alpha Climate,Jan 2023,"45,349.22","$5,850.18"
Hibiscus DAO,GG16 Alpha Climate,Jan 2023,"45,018.75","$5,595.82"
Act Now Climate Change Bundle,GG16 Alpha Climate,Jan 2023,"44,938.67","$5,514.99"
Bundle: Carbon Markets,GG16 Alpha Climate,Jan 2023,"44,342.30","$4,874.18"
Carbon DAO,GG16 Alpha Climate,Jan 2023,"43,833.72","$4,847.88"
Barichara Regeneration Fund ��� Prototyping a Bioregional Regenerative Economy,GG16 Alpha Climate,Jan 2023,"40,614.00","$4,476.02"
AgroforestDAO,GG16 Alpha Climate,Jan 2023,"40,079.68","$4,321.45"
Endangered Tokens: Endangered Trees as ReFi Biodiversity Assets,GG16 Alpha Climate,Jan 2023,"40,012.19","$4,301.96"
Bundle: Emerging Economies and Indigenous Communities,GG16 Alpha Climate,Jan 2023,"39,663.82","$4,159.14"
.basin - perpetual place-based climate & nature finance,GG16 Alpha Climate,Jan 2023,"38,926.43","$3,972.52"
Saving forests in Colombia with KOKO DAO,GG16 Alpha Climate,Jan 2023,"38,596.06","$3,771.14"
ReSci Network,GG16 Alpha Climate,Jan 2023,"37,888.81","$3,732.67"
Plants And Pillars,GG16 Alpha Climate,Jan 2023,"34,177.99","$3,559.40"
TaterDAO,GG16 Alpha Climate,Jan 2023,"32,480.07","$3,508.16"
Community Engagement - Bundle 6,GG16 Alpha Climate,Jan 2023,"31,481.75","$3,383.30"
MRV Foundation (previously MRV101),GG16 Alpha Climate,Jan 2023,"31,170.72","$3,233.12"
Web3beach,GG16 Alpha Climate,Jan 2023,"31,044.49","$3,161.95"
Earthist - Decentralize Hemp Seeds,GG16 Alpha Climate,Jan 2023,"30,743.66","$2,955.42"
CyberBox ReFi NFT Marketplace,GG16 Alpha Climate,Jan 2023,"28,260.70","$2,889.17"
The Angry Teenagers - democratising investment in reforestation projects,GG16 Alpha Climate,Jan 2023,"27,967.65","$2,851.79"
Bundle: Renewable Energy,GG16 Alpha Climate,Jan 2023,"27,792.68","$2,570.50"
Natives in Tech,GG16 Alpha Climate,Jan 2023,"27,607.95","$2,241.48"
dMeter,GG16 Alpha Climate,Jan 2023,"27,567.62","$1,896.07"
The Impact App + Eco Labs,GG16 Alpha Climate,Jan 2023,"26,447.32","$1,877.21"
Bundle: Creative Works,GG16 Alpha Climate,Jan 2023,"25,954.85","$1,743.01"
Silvi,GG16 Alpha Climate,Jan 2023,"25,407.48","$1,737.85"
Impact DAOs Research + Podcast + Book : Impact DAO Media Season 2,GG16 Alpha Climate,Jan 2023,"24,880.58","$1,690.06"
ReCommon,GG16 Alpha Climate,Jan 2023,"24,704.11","$1,305.85"
Scaling Grassroots Commons for Local Regeneration in E. Africa and S. E. Asia,GG16 Alpha Climate,Jan 2023,"23,656.03","$1,223.26"
Myseelia,GG16 Alpha Climate,Jan 2023,"23,641.12","$1,068.04"
The CM Guild,GG16 Alpha Climate,Jan 2023,"23,531.25",$954.06
Avano,GG16 Alpha Climate,Jan 2023,"22,972.70",$814.14
Lenster,GG17 Beta Web3 OSS,Apr 2023,"22,678.04","$14,000.00"
JediSwap,GG17 Beta Web3 OSS,Apr 2023,"21,627.00","$14,000.00"
DefiLlama,GG17 Beta Web3 OSS,Apr 2023,"21,521.52","$14,000.00"
Taho - Open Source and Community Owned Wallet,GG17 Beta Web3 OSS,Apr 2023,"21,067.76","$14,000.00"
Via | Cross-chain router,GG17 Beta Web3 OSS,Apr 2023,"20,380.82","$14,000.00"
OmniBTC,GG17 Beta Web3 OSS,Apr 2023,"20,278.03","$14,000.00"
Revoke.cash - Helping you stay safe in web3,GG17 Beta Web3 OSS,Apr 2023,"19,785.18","$14,000.00"
Lenstube,GG17 Beta Web3 OSS,Apr 2023,"19,419.09","$14,000.00"
Umbra,GG17 Beta Web3 OSS,Apr 2023,"19,213.55","$14,000.00"
BrightID 🔆 Universal Proof of Uniqueness,GG17 Beta Web3 OSS,Apr 2023,"19,085.86","$14,000.00"
Loanshark,GG17 Beta Web3 OSS,Apr 2023,"19,056.60","$14,000.00"
IDriss - A more usable web3 for everyone,GG17 Beta Web3 OSS,Apr 2023,"18,994.87","$14,000.00"
Proof of Humanity Origin,GG17 Beta Web3 OSS,Apr 2023,"18,798.99","$14,000.00"
POAPin,GG17 Beta Web3 OSS,Apr 2023,"18,549.22","$14,000.00"
ShapeShift DAO,GG17 Beta Web3 OSS,Apr 2023,"18,271.88","$14,000.00"
Zk- Block | Tools for Zk & Web3 Dapps,GG17 Beta Web3 OSS,Apr 2023,"18,034.69","$14,000.00"
Rouge Ticket,GG17 Beta Web3 OSS,Apr 2023,"17,983.16","$14,000.00"
DefiLab.xyz,GG17 Beta Web3 OSS,Apr 2023,"15,774.28","$14,000.00"
Punk Domains - Modular Web3 Names Protocol,GG17 Beta Web3 OSS,Apr 2023,"15,736.37","$14,000.00"
Giveth,GG17 Beta Web3 OSS,Apr 2023,"15,732.30","$13,012.20"
The Tor Project,GG17 Beta Web3 OSS,Apr 2023,"15,329.31","$7,969.64"
xLog - Write. Own. Earn.,GG17 Beta Web3 OSS,Apr 2023,"15,206.14","$6,787.82"
Chaineye,GG17 Beta Web3 OSS,Apr 2023,"15,038.62","$5,610.69"
dm3 protocol - the interoperability initiative ,GG17 Beta Web3 OSS,Apr 2023,"13,930.17","$5,171.87"
Starksheet,GG17 Beta Web3 OSS,Apr 2023,"13,769.49","$4,959.89"
ECHO,GG17 Beta Web3 OSS,Apr 2023,"13,684.13","$3,849.71"
beaconcha.in,GG17 Beta Web3 OSS,Apr 2023,"13,411.82","$3,644.98"
TrueBlocks and the Unchained Index,GG17 Beta Web3 OSS,Apr 2023,"13,169.25","$3,214.37"
cadCAD: Computer Aided Design for Complex Systems,GG17 Beta Web3 OSS,Apr 2023,"12,928.58","$2,579.57"
Commons Stack,GG17 Beta Web3 OSS,Apr 2023,"12,115.61","$2,060.48"
DAOstar,GG17 Beta Web3 OSS,Apr 2023,"11,449.32","$1,639.07"
Minerva Wallet - You Own It,GG17 Beta Web3 OSS,Apr 2023,"11,328.63","$1,479.57"
Buckets,GG17 Beta Web3 OSS,Apr 2023,"10,933.37","$1,409.36"
Uniswap V3 Calculator & Simulator,GG17 Beta Web3 OSS,Apr 2023,"10,875.07","$1,340.96"
Seedle,GG17 Beta Web3 OSS,Apr 2023,"10,735.09","$1,141.81"
Impersonator,GG17 Beta Web3 OSS,Apr 2023,"10,535.97","$1,133.40"
White Hat DAO,GG17 Beta Web3 OSS,Apr 2023,"10,499.66","$1,069.38"
MetaDock,GG17 Beta Web3 OSS,Apr 2023,"10,197.32","$1,064.01"
Uniswap.fish,GG17 Beta Web3 OSS,Apr 2023,"10,129.83","$1,008.46"
neume,GG17 Beta Web3 OSS,Apr 2023,"10,072.54",$887.13
⚡️TurboETH - Web3 Build System,GG17 Beta Web3 OSS,Apr 2023,"9,910.00",$743.92
DexKit,GG17 Beta Web3 OSS,Apr 2023,"9,657.05",$711.51
1Hive Gardens,GG17 Beta Web3 OSS,Apr 2023,"9,286.72",$693.85
Inverter Network - Fund and build in web 3 with ease,GG17 Beta Web3 OSS,Apr 2023,"9,227.83",$536.84
ENS Wayback Machine,GG17 Beta Web3 OSS,Apr 2023,"8,663.52",$525.13
viaPrize,GG17 Beta Web3 OSS,Apr 2023,"8,606.59",$498.09
useWeb3 - Web3 Developer platform,GG17 Beta Web3 OSS,Apr 2023,"8,603.48",$484.91
Pepemon: Degen Battleground,GG17 Beta Web3 OSS,Apr 2023,"8,449.31",$483.52
DOM Money – wallet for everyday expenses,GG17 Beta Web3 OSS,Apr 2023,"8,246.43",$475.81
ITU Blockchain,GG17 Beta Web3 OSS,Apr 2023,"7,805.18",$465.83
Onboard 1000 Scientists to Web3,GG17 Beta Web3 OSS,Apr 2023,"7,588.94",$464.31
ethstaker.tax,GG17 Beta Web3 OSS,Apr 2023,"7,195.57",$418.77
ENSRedirect,GG17 Beta Web3 OSS,Apr 2023,"6,845.28",$356.09
Web3 OSS Libraries by DePay,GG17 Beta Web3 OSS,Apr 2023,"6,696.53",$322.05
Flexible Voting,GG17 Beta Web3 OSS,Apr 2023,"6,403.57",$317.98
Zuzu,GG17 Beta Web3 OSS,Apr 2023,"6,355.71",$278.10
0xDeadList,GG17 Beta Web3 OSS,Apr 2023,"5,995.93",$242.56
FiatConnect,GG17 Beta Web3 OSS,Apr 2023,"5,990.16",$239.90
Scaffold-ETH 2,GG17 Beta Web3 OSS,Apr 2023,"5,973.38",$233.43
Quest Chains,GG17 Beta Web3 OSS,Apr 2023,"5,680.22",$233.20
Praise,GG17 Beta Web3 OSS,Apr 2023,"5,566.61",$204.31
PiEthereumHardwareWallet,GG17 Beta Web3 OSS,Apr 2023,"5,324.67",$199.31
Using ZK for game optimization in Dark Forest,GG17 Beta Web3 OSS,Apr 2023,"5,322.68",$187.53
Geo Web,GG17 Beta Web3 OSS,Apr 2023,"4,759.80",$184.86
tProof,GG17 Beta Web3 OSS,Apr 2023,"4,503.78",$178.34
DataverseOS,GG17 Beta Web3 OSS,Apr 2023,"4,378.20",$177.11
EVMcrispr,GG17 Beta Web3 OSS,Apr 2023,"4,109.12",$175.30
FundPG,GG17 Beta Web3 OSS,Apr 2023,"4,029.06",$165.40
datalatte ☕️ ,GG17 Beta Web3 OSS,Apr 2023,"3,424.26",$164.64
Fusion – Open Source Web3 Icon Set,GG17 Beta Web3 OSS,Apr 2023,"3,244.13",$162.02
Decentrifi,GG17 Beta Web3 OSS,Apr 2023,"2,859.89",$160.60
Governator,GG17 Beta Web3 OSS,Apr 2023,"2,800.97",$143.63
Lume Web - Your Open & Private Internet,GG17 Beta Web3 OSS,Apr 2023,"2,796.37",$138.57
W3Space(previously W3.work),GG17 Beta Web3 OSS,Apr 2023,"2,619.19",$135.75
fatcat.money,GG17 Beta Web3 OSS,Apr 2023,"2,552.76",$134.26
ROBOTS.TXT,GG17 Beta Web3 OSS,Apr 2023,"2,508.66",$131.78
aikipay,GG17 Beta Web3 OSS,Apr 2023,"2,436.18",$123.82
signless,GG17 Beta Web3 OSS,Apr 2023,"2,217.50",$117.61
DeCartography,GG17 Beta Web3 OSS,Apr 2023,"2,148.79",$115.76
Kredeum NFTs Factory,GG17 Beta Web3 OSS,Apr 2023,"2,144.20",$104.14
Codingsh Open Source Developer,GG17 Beta Web3 OSS,Apr 2023,"2,069.04",$97.36
Backpack,GG17 Beta Web3 OSS,Apr 2023,"2,044.08",$95.11
1W3,GG17 Beta Web3 OSS,Apr 2023,"1,862.82",$89.54
0u0.ai,GG17 Beta Web3 OSS,Apr 2023,"1,535.52",$87.97
HonestWork,GG17 Beta Web3 OSS,Apr 2023,"1,465.75",$73.27
zenbit.eth,GG17 Beta Web3 OSS,Apr 2023,"1,103.26",$72.62
Pin Save: decentralized Pinterest,GG17 Beta Web3 OSS,Apr 2023,"1,101.52",$66.51
Changeth - private verifiable petitions,GG17 Beta Web3 OSS,Apr 2023,"1,079.78",$64.01
Pairwise: Tinder UX for web3 community signaling,GG17 Beta Web3 OSS,Apr 2023,"1,072.54",$52.75
Zuzalu Housing Tetris,GG17 Beta Web3 OSS,Apr 2023,"1,014.56",$48.92
Thunder Chat,GG17 Beta Web3 OSS,Apr 2023,$985.61,$41.28
Rubber Ducky,GG17 Beta Web3 OSS,Apr 2023,$927.59,$41.19
StatelessArt,GG17 Beta Web3 OSS,Apr 2023,$724.68,$40.53
The Slipstream,GG17 Beta Web3 OSS,Apr 2023,$594.26,$32.52
The Science Commons Initiative,GG17 Beta Web3 OSS,Apr 2023,$594.26,$30.19
Sovr,GG17 Beta Web3 OSS,Apr 2023,"663,853.62",$26.73
Spect,GG17 Beta Web3 OSS,Apr 2023,"496,896.42",$26.36
Sadaiv,GG17 Beta Web3 OSS,Apr 2023,"422,361.96",$24.16
crypto-jobs-crawler,GG17 Beta Web3 OSS,Apr 2023,"339,545.72",$22.91
Voting Contracts,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$18.94
Grant Review Dashboard,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$17.03
MEVBoostAA,GG17 Beta Web3 OSS,Apr 2023,"298,137.85",$11.96
Eppie: Web3 native email and identity manager,GG17 Beta Web3 OSS,Apr 2023,"280,249.58",$9.01
Smart Invoice,GG17 Beta Web3 OSS,Apr 2023,"273,293.03",$8.75
DecentrAgora,GG17 Beta Web3 OSS,Apr 2023,"253,848.98",$7.95
word block - Your reference notebook,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$6.23
Stackly,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$5.64
Project LION: Building Leo,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$4.73
HODL Totals,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$4.40
"Blockhead: account tracker, block explorer and data browser interface for crypto/DeFi/NFTs/web3",GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$3.33
Wireshape - Open Blockchain for Product Data,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$2.07
Shivarthu Democracy,GG17 Beta Web3 OSS,Apr 2023,"248,448.21",$1.17
xBound,GG17 Beta Web3 Community & Education,Apr 2023,"248,448.21","$12,000.00"
BanklessDAO Projects,GG17 Beta Web3 Community & Education,Apr 2023,"248,448.21","$11,461.74"
Metagov,GG17 Beta Web3 Community & Education,Apr 2023,"227,602.91","$10,154.16"
Nowhere Publishing (NFT books with open access content),GG17 Beta Web3 Community & Education,Apr 2023,"225,861.29","$10,152.87"
ZachXBT,GG17 Beta Web3 Community & Education,Apr 2023,"223,603.39","$9,490.22"
Boring Security,GG17 Beta Web3 Community & Education,Apr 2023,"219,757.63","$9,433.31"
Blocktrend（區塊勢）,GG17 Beta Web3 Community & Education,Apr 2023,"212,309.93","$9,037.77"
CryptoCurious- Puerto Rico Blockchain Trade Association,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$5,342.56"
Help Protect the Internet Archive,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$5,120.75"
POAPathon,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,921.67"
Revolte,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,777.54"
Greenpill Podcast,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$4,397.72"
GreenPill Global ,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,711.85"
Ethereum Guatemala,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,653.67"
DAOVOZ,GG17 Beta Web3 Community & Education,Apr 2023,"198,758.57","$3,539.44"
404 DAO,GG17 Beta Web3 Community & Education,Apr 2023,"195,280.29","$3,274.48"
Ethereum Uruguay,GG17 Beta Web3 Community & Education,Apr 2023,"176,398.23","$3,267.96"
Kernel,GG17 Beta Web3 Community & Education,Apr 2023,"170,364.91","$3,195.01"
Blu3 Global,GG17 Beta Web3 Community & Education,Apr 2023,"149,455.01","$2,984.47"
Web3Afrika,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,620.24"
Infinite Garden Library,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,402.72"
Mechanism Institute: Democratizing Cryptoeconomics,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,357.56"
Trusted Seed,GG17 Beta Web3 Community & Education,Apr 2023,"149,068.93","$2,335.30"
Defy Foundation,GG17 Beta Web3 Community & Education,Apr 2023,"138,983.92","$2,189.91"
ReFi DAO — a global network of tech-enabled regenerative villages in startup cities ,GG17 Beta Web3 Community & Education,Apr 2023,"136,646.52","$2,169.96"
