Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
UNIFest,Wave3,,,"$20,480.00"
Team Secret sponsorship,Wave3,,,"$5,000.00"
v3 python wrapper,Wave3,,,"$2,500.00"
Rari Capital - Nova contracts external audit,Wave3,,,"$6,000.00"
John Palmer & Anish Agnihotri - Fish.vote,Wave3,,,"$20,000.00"
Omar Bohsali - v3 LM incentive contracts,Wave3,,,"$50,400.00"
v3 Analytics Bounties (Flipside & Dune Analytics),Wave3,,,"$10,000.00"
Other Internet Community Study,Wave3,,,"$15,000.00"
Rabbit Hole - v3 onboarding,Wave3,,,"$17,000.00"
Timothy Luke - UGP Headless Branding,Wave3,,,"$20,000.00"
