Recipient / Grantee,Wave/Round,Term,Amount (Token),Amount (USD)
ETHGlobal - Hack Money,Wave4,,,"$40,000.00"
Cyber Academy - Russian DeFi Education,Wave4,,,"$10,000.00"
Wei Huang - UNI OS Typeface,Wave4,,,"$20,000.00"
UNI.vote & Bravo upgrade,Wave4,,,"$21,000.00"
pyexchange v3 client,Wave4,,,"$50,000.00"
EIP-3074 Audit,Wave4,,,"$10,000.00"
Sunny Radadiya - v3 metatx frontend,Wave4,,,"$3,000.00"
Defilab_xyz V3 simulation tool,Wave4,,,"$225,000.00"
Buidl Guidl - v3 bounties,Wave4,,,"$10,000.00"
DAO Research Coop,Wave4,,,"$20,000.00"
